English,Transcription,Русский
cheap — expensive,/tʃiːp — ɪkˈspensɪv/,дешёвый — дорогой
right — wrong,/raɪt — rɒŋ/,правильный — неправильный
true — false,/truː — fɔːls/,правдивый — ложный
loud — quiet,/laʊd — ˈkwaɪət/,громкий — тихий
wet — dry,/wet — draɪ/,мокрый — сухой
soft — hard,/sɒft — hɑːd/,мягкий — твёрдый
heavy — light,/ˈhevi — laɪt/,тяжёлый — лёгкий
wide — narrow,/waɪd — ˈnærəʊ/,широкий — узкий
thick — thin,/θɪk — θɪn/,толстый — тонкий
deep — shallow,/diːp — ˈʃæləʊ/,глубокий — мелкий
sweet — sour,/swiːt — ˈsaʊə/,сладкий — кислый
first — last,/fɜːst — lɑːst/,первый — последний
same — different,/seɪm — ˈdɪfrənt/,одинаковый — разный
begin — end,/bɪˈɡɪn — end/,начинать — заканчивать
win — lose,/wɪn — luːz/,выигрывать — проигрывать
buy — sell,/baɪ — sel/,покупать — продавать
love — hate,/lʌv — heɪt/,любить — ненавидеть
remember — forget,/rɪˈmembə — fəˈɡet/,помнить — забывать
push — pull,/pʊʃ — pʊl/,толкать — тянуть
give — take,/ɡɪv — teɪk/,давать — брать
come — go,/kʌm — ɡəʊ/,приходить — уходить
up — down,/ʌp — daʊn/,вверх — вниз
in — out,/ɪn — aʊt/,внутри — снаружи
left — right,/left — raɪt/,левый — правый
day — night,/deɪ — naɪt/,день — ночь
always — never,/ˈɔːlweɪz — ˈnevə/,всегда — никогда
everything — nothing,/ˈevriθɪŋ — ˈnʌθɪŋ/,всё — ничего
more — less,/mɔː — les/,больше — меньше
before — after,/bɪˈfɔː — ˈɑːftə/,до — после
question — answer,/ˈkwestʃən — ˈɑːnsə/,вопрос — ответ
friend — enemy,/frend — ˈenəmi/,друг — враг
# (омофоны перенесены в отдельный блок «Омофоны» — фильтр рядом с уровнями)
# ─────────── A1 · МОДАЛЬНЫЕ (30) ───────────
I can swim,/aɪ kæn swɪm/,я умею плавать
I can't come,/aɪ kɑːnt kʌm/,я не могу прийти
Can you help me?,/kæn juː help miː/,можешь мне помочь?
You must stop,/juː mʌst stɒp/,ты должен остановиться
I must go now,/aɪ mʌst ɡəʊ naʊ/,мне пора идти
You should rest,/juː ʃʊd rest/,тебе стоит отдохнуть
I should call her,/aɪ ʃʊd kɔːl hɜː/,мне стоит ей позвонить
May I come in?,/meɪ aɪ kʌm ɪn/,можно войти?
I would like tea,/aɪ wʊd laɪk tiː/,я хотел бы чай
Could you repeat?,/kʊd juː rɪˈpiːt/,повторите, пожалуйста?
We can try,/wiː kæn traɪ/,мы можем попробовать
She can drive,/ʃiː kæn draɪv/,она умеет водить
I have to work,/aɪ hæv tuː wɜːk/,мне нужно работать
You mustn't lie,/juː ˈmʌsənt laɪ/,нельзя лгать
I might be late,/aɪ maɪt biː leɪt/,я могу опоздать
Can I ask you?,/kæn aɪ ɑːsk juː/,можно тебя спросить?
You may sit,/juː meɪ sɪt/,можешь сесть
I can't hear you,/aɪ kɑːnt hɪə juː/,я тебя не слышу
We should go,/wiː ʃʊd ɡəʊ/,нам пора идти
He must be tired,/hiː mʌst biː ˈtaɪəd/,он, наверное, устал
Would you help me?,/wʊd juː help miː/,ты бы мне помог?
I can do it,/aɪ kæn duː ɪt/,я могу это сделать
You should sleep,/juː ʃʊd sliːp/,тебе стоит поспать
Can we start?,/kæn wiː stɑːt/,можем начать?
I must remember,/aɪ mʌst rɪˈmembə/,я должен помнить
She may know,/ʃiː meɪ nəʊ/,она, возможно, знает
I'd like to help,/aɪd laɪk tuː help/,я хотел бы помочь
You can wait here,/juː kæn weɪt hɪə/,можешь подождать здесь
We might win,/wiː maɪt wɪn/,мы можем выиграть
I have to leave,/aɪ hæv tuː liːv/,мне нужно уходить
# ─────────── A1 · ТЕЛО И У ВРАЧА ───────────
skin,/skɪn/,кожа
bone,/bəʊn/,кость
blood,/blʌd/,кровь
brain,/breɪn/,мозг
heart,/hɑːt/,сердце
lung,/lʌŋ/,лёгкое
stomach,/ˈstʌmək/,живот / желудок
throat,/θrəʊt/,горло
neck,/nek/,шея
shoulder,/ˈʃəʊldə/,плечо
knee,/niː/,колено
elbow,/ˈelbəʊ/,локоть
finger,/ˈfɪŋɡə/,палец
tooth,/tuːθ/,зуб
I feel sick,/aɪ fiːl sɪk/,мне плохо
I have a headache,/aɪ hæv ə ˈhedeɪk/,у меня болит голова
I have a cold,/aɪ hæv ə kəʊld/,я простыл(а)
I have a fever,/aɪ hæv ə ˈfiːvə/,у меня температура
My throat hurts,/maɪ θrəʊt hɜːts/,у меня болит горло
My stomach hurts,/maɪ ˈstʌmək hɜːts/,у меня болит живот
I need a doctor,/aɪ niːd ə ˈdɒktə/,мне нужен врач
Call an ambulance,/kɔːl ən ˈæmbjələns/,вызовите скорую
Where does it hurt?,/weə dʌz ɪt hɜːt/,где болит?
Take this medicine,/teɪk ðɪs ˈmedsɪn/,примите это лекарство
I feel dizzy,/aɪ fiːl ˈdɪzi/,у меня кружится голова
I have a cough,/aɪ hæv ə kɒf/,у меня кашель
I cut my finger,/aɪ kʌt maɪ ˈfɪŋɡə/,я порезал(а) палец
a pill,/ə pɪl/,таблетка
a pharmacy,/ə ˈfɑːməsi/,аптека
Get well soon,/ɡet wel suːn/,выздоравливай скорее
# ─────────── A1 · ЕДА И МАГАЗИН ───────────
flour,/ˈflaʊə/,мука
oil,/ɔɪl/,масло (растительное)
honey,/ˈhʌni/,мёд
jam,/dʒæm/,джем
yogurt,/ˈjɒɡət/,йогурт
sausage,/ˈsɒsɪdʒ/,колбаса / сосиска
pasta,/ˈpæstə/,макароны
biscuit,/ˈbɪskɪt/,печенье
chocolate,/ˈtʃɒklət/,шоколад
ice cream,/ˈaɪs kriːm/,мороженое
juice,/dʒuːs/,сок
wine,/waɪn/,вино
beer,/bɪə/,пиво
onion,/ˈʌnjən/,лук
garlic,/ˈɡɑːlɪk/,чеснок
pepper,/ˈpepə/,перец
mushroom,/ˈmʌʃruːm/,гриб
How much is it?,/haʊ mʌtʃ ɪz ɪt/,сколько это стоит?
Where is the milk?,/weə ɪz ðə mɪlk/,где молоко?
I would like some bread,/aɪ wʊd laɪk sʌm bred/,мне, пожалуйста, хлеб
Can I pay by card?,/kæn aɪ peɪ baɪ kɑːd/,можно оплатить картой?
A bottle of water please,/ə ˈbɒtəl ɒv ˈwɔːtə pliːz/,бутылку воды, пожалуйста
Do you have bread?,/duː juː hæv bred/,у вас есть хлеб?
It is too expensive,/ɪt ɪz tuː ɪkˈspensɪv/,это слишком дорого
Can I have a bag?,/kæn aɪ hæv ə bæɡ/,можно пакет?
I'll take it,/aɪl teɪk ɪt/,я это возьму
a kilo of apples,/ə ˈkiːləʊ ɒv ˈæpəlz/,килограмм яблок
a loaf of bread,/ə ləʊf ɒv bred/,буханка хлеба
a dozen eggs,/ə ˈdʌzən eɡz/,дюжина яиц
the supermarket,/ðə ˈsuːpəmɑːkɪt/,супермаркет
a receipt,/ə rɪˈsiːt/,чек
a shopping list,/ə ˈʃɒpɪŋ lɪst/,список покупок
What time do you close?,/wɒt taɪm duː juː kləʊz/,во сколько закрываетесь?
on sale,/ɒn seɪl/,по скидке / распродажа
fresh,/freʃ/,свежий
# ─────────── A1 · ПРОШЕДШЕЕ ВРЕМЯ (30) ───────────
I was at home,/aɪ wɒz ət həʊm/,я был(а) дома
I went to work,/aɪ went tuː wɜːk/,я пошёл на работу
She saw a film,/ʃiː sɔː ə fɪlm/,она посмотрела фильм
We ate dinner,/wiː et ˈdɪnə/,мы поужинали
He drank coffee,/hiː dræŋk ˈkɒfi/,он выпил кофе
They came late,/ðeɪ keɪm leɪt/,они пришли поздно
I bought bread,/aɪ bɔːt bred/,я купил(а) хлеб
She made a cake,/ʃiː meɪd ə keɪk/,она испекла торт
We had fun,/wiː hæd fʌn/,нам было весело
I saw you yesterday,/aɪ sɔː juː ˈjestədeɪ/,я видел(а) тебя вчера
He got a message,/hiː ɡɒt ə ˈmesɪdʒ/,он получил сообщение
They played football,/ðeɪ pleɪd ˈfʊtbɔːl/,они играли в футбол
I slept well,/aɪ slept wel/,я хорошо поспал(а)
She called me,/ʃiː kɔːld miː/,она мне позвонила
We met at the cafe,/wiː met ət ðə ˈkæfeɪ/,мы встретились в кафе
I forgot my keys,/aɪ fəˈɡɒt maɪ kiːz/,я забыл(а) ключи
He left early,/hiː left ˈɜːli/,он ушёл рано
They won the game,/ðeɪ wʌn ðə ɡeɪm/,они выиграли игру
I read a book,/aɪ red ə bʊk/,я прочитал(а) книгу
She wrote a letter,/ʃiː rəʊt ə ˈletə/,она написала письмо
We walked home,/wiː wɔːkt həʊm/,мы пошли домой пешком
I cooked dinner,/aɪ kʊkt ˈdɪnə/,я приготовил(а) ужин
He helped me,/hiː helpt miː/,он мне помог
They lived here,/ðeɪ lɪvd hɪə/,они жили здесь
I felt tired,/aɪ felt ˈtaɪəd/,я чувствовал(а) усталость
She said yes,/ʃiː sed jes/,она сказала да
We took a taxi,/wiː tʊk ə ˈtæksi/,мы взяли такси
I lost my phone,/aɪ lɒst maɪ fəʊn/,я потерял(а) телефон
He found the key,/hiː faʊnd ðə kiː/,он нашёл ключ
They knew the answer,/ðeɪ njuː ðiː ˈɑːnsə/,они знали ответ
# ─────────── A1 · БУДУЩЕЕ ВРЕМЯ (30) ───────────
I will call you,/aɪ wɪl kɔːl juː/,я тебе позвоню
I'll be there,/aɪl biː ðeə/,я буду там
She will come soon,/ʃiː wɪl kʌm suːn/,она скоро придёт
We will win,/wiː wɪl wɪn/,мы победим
I'm going to work,/aɪm ˈɡəʊɪŋ tuː wɜːk/,я собираюсь работать
It will rain tomorrow,/ɪt wɪl reɪn təˈmɒrəʊ/,завтра будет дождь
They will help us,/ðeɪ wɪl help ʌs/,они нам помогут
I won't forget,/aɪ wəʊnt fəˈɡet/,я не забуду
He will be happy,/hiː wɪl biː ˈhæpi/,он будет рад
We are going to travel,/wiː ɑː ˈɡəʊɪŋ tuː ˈtrævəl/,мы собираемся путешествовать
I will try again,/aɪ wɪl traɪ əˈɡen/,я попробую снова
She'll cook dinner,/ʃiːl kʊk ˈdɪnə/,она приготовит ужин
Will you come?,/wɪl juː kʌm/,ты придёшь?
I'll take a taxi,/aɪl teɪk ə ˈtæksi/,я возьму такси
We will meet tomorrow,/wiː wɪl miːt təˈmɒrəʊ/,мы встретимся завтра
He is going to sleep,/hiː ɪz ˈɡəʊɪŋ tuː sliːp/,он собирается спать
I will buy food,/aɪ wɪl baɪ fuːd/,я куплю еду
They'll be late,/ðeɪl biː leɪt/,они опоздают
I won't be long,/aɪ wəʊnt biː lɒŋ/,я ненадолго
She will call back,/ʃiː wɪl kɔːl bæk/,она перезвонит
We'll see,/wiːl siː/,посмотрим
It's going to be cold,/ɪts ˈɡəʊɪŋ tuː biː kəʊld/,будет холодно
I will learn English,/aɪ wɪl lɜːn ˈɪŋɡlɪʃ/,я выучу английский
He'll drive us,/hiːl draɪv ʌs/,он нас отвезёт
Will it work?,/wɪl ɪt wɜːk/,это сработает?
I'm going to rest,/aɪm ˈɡəʊɪŋ tuː rest/,я собираюсь отдохнуть
We will stay home,/wiː wɪl steɪ həʊm/,мы останемся дома
They will arrive at six,/ðeɪ wɪl əˈraɪv ət sɪks/,они приедут в шесть
I will remember this,/aɪ wɪl rɪˈmembə ðɪs/,я это запомню
She's going to win,/ʃiːz ˈɡəʊɪŋ tuː wɪn/,она победит
