English,Transcription,Русский
You have a point,/juː hæv ə pɔɪnt/,ты прав(а) в чём-то
Let's touch base later,/lets tʌtʃ beɪs ˈleɪtə/,свяжемся позже
That's a fair point,/ðæts ə feə pɔɪnt/,справедливое замечание
I beg to differ,/aɪ beɡ tuː ˈdɪfə/,позволю себе не согласиться
Take it with a pinch of salt,/teɪk ɪt wɪð ə pɪntʃ ɒv sɔːlt/,не принимай на веру
# ─────────── B2 · ПРИЛАГАТЕЛЬНЫЕ (ХАРАКТЕР И ОЦЕНКА) ───────────
reliable,/rɪˈlaɪəbəl/,надёжный
stubborn,/ˈstʌbən/,упрямый
generous,/ˈdʒenərəs/,щедрый
selfish,/ˈselfɪʃ/,эгоистичный
ambitious,/æmˈbɪʃəs/,амбициозный
confident,/ˈkɒnfɪdənt/,уверенный в себе
sensitive,/ˈsensɪtɪv/,чувствительный / ранимый
thoughtful,/ˈθɔːtfəl/,заботливый / вдумчивый
arrogant,/ˈærəɡənt/,высокомерный
honest,/ˈɒnɪst/,честный
polite,/pəˈlaɪt/,вежливый
rude,/ruːd/,грубый
patient,/ˈpeɪʃənt/,терпеливый
lazy,/ˈleɪzi/,ленивый
hardworking,/ˈhɑːdwɜːkɪŋ/,трудолюбивый
easygoing,/ˈiːziɡəʊɪŋ/,лёгкий в общении
moody,/ˈmuːdi/,переменчивый в настроении
brave,/breɪv/,смелый
cautious,/ˈkɔːʃəs/,осторожный
curious,/ˈkjʊəriəs/,любопытный
# ─────────── B2 · ПРИЛАГАТЕЛЬНЫЕ (ОПИСАНИЕ ВЕЩЕЙ) ───────────
impressive,/ɪmˈpresɪv/,впечатляющий
disappointing,/ˌdɪsəˈpɔɪntɪŋ/,разочаровывающий
convenient,/kənˈviːniənt/,удобный
awkward,/ˈɔːkwəd/,неловкий / неудобный
essential,/ɪˈsenʃəl/,важнейший / необходимый
significant,/sɪɡˈnɪfɪkənt/,значительный
obvious,/ˈɒbviəs/,очевидный
complicated,/ˈkɒmplɪkeɪtɪd/,сложный / запутанный
efficient,/ɪˈfɪʃənt/,эффективный
flexible,/ˈfleksɪbəl/,гибкий
reasonable,/ˈriːzənəbəl/,разумный / приемлемый
worthwhile,/ˌwɜːθˈwaɪl/,стоящий / оправданный
outstanding,/aʊtˈstændɪŋ/,выдающийся
overwhelming,/ˌəʊvəˈwelmɪŋ/,ошеломляющий / подавляющий
subtle,/ˈsʌtəl/,тонкий / едва заметный
# ─────────── B2 · АБСТРАКТНЫЕ СУЩЕСТВИТЕЛЬНЫЕ ───────────
advantage,/ədˈvɑːntɪdʒ/,преимущество
disadvantage,/ˌdɪsədˈvɑːntɪdʒ/,недостаток
opportunity,/ˌɒpəˈtjuːnəti/,возможность
responsibility,/rɪˌspɒnsəˈbɪləti/,ответственность
achievement,/əˈtʃiːvmənt/,достижение
experience,/ɪkˈspɪəriəns/,опыт
knowledge,/ˈnɒlɪdʒ/,знание
attitude,/ˈætɪtjuːd/,отношение / настрой
behaviour,/bɪˈheɪvjə/,поведение
decision,/dɪˈsɪʒən/,решение
solution,/səˈluːʃən/,решение (проблемы)
challenge,/ˈtʃælɪndʒ/,испытание / сложная задача
purpose,/ˈpɜːpəs/,цель / назначение
benefit,/ˈbenɪfɪt/,польза / выгода
consequence,/ˈkɒnsɪkwəns/,последствие
impression,/ɪmˈpreʃən/,впечатление
reputation,/ˌrepjʊˈteɪʃən/,репутация
confidence,/ˈkɒnfɪdəns/,уверенность
pressure,/ˈpreʃə/,давление / нагрузка
relationship,/rɪˈleɪʃənʃɪp/,отношения
# ─────────── B2 · ГЛАГОЛЫ И КОЛЛОКАЦИИ ───────────
to make a decision,/tuː meɪk ə dɪˈsɪʒən/,принимать решение
to take responsibility,/tuː teɪk rɪˌspɒnsəˈbɪləti/,брать на себя ответственность
to make progress,/tuː meɪk ˈprəʊɡres/,добиваться прогресса
to solve a problem,/tuː sɒlv ə ˈprɒbləm/,решать проблему
to reach an agreement,/tuː riːtʃ ən əˈɡriːmənt/,приходить к согласию
to keep a promise,/tuː kiːp ə ˈprɒmɪs/,держать обещание
to break a promise,/tuː breɪk ə ˈprɒmɪs/,нарушить обещание
to pay attention,/tuː peɪ əˈtenʃən/,обращать внимание
to make an effort,/tuː meɪk ən ˈefət/,прилагать усилия
to take advantage,/tuː teɪk ədˈvɑːntɪdʒ/,воспользоваться (преимуществом)
to raise awareness,/tuː reɪz əˈweənəs/,повышать осведомлённость
to meet a deadline,/tuː miːt ə ˈdedlaɪn/,успеть к сроку
to draw a conclusion,/tuː drɔː ə kənˈkluːʒən/,делать вывод
to express an opinion,/tuː ɪkˈspres ən əˈpɪnjən/,выражать мнение
to gain experience,/tuː ɡeɪn ɪkˈspɪəriəns/,набираться опыта
to face a challenge,/tuː feɪs ə ˈtʃælɪndʒ/,столкнуться с трудностью
to take a risk,/tuː teɪk ə rɪsk/,идти на риск
to make sense,/tuː meɪk sens/,иметь смысл
to change your mind,/tuː tʃeɪndʒ jɔː maɪnd/,передумать
to keep in mind,/tuː kiːp ɪn maɪnd/,иметь в виду
# ─────────── B2 · ФРАЗОВЫЕ ГЛАГОЛЫ ───────────
to figure out,/tuː ˈfɪɡər aʊt/,понять / разобраться
to come up with,/tuː kʌm ʌp wɪð/,придумать
to look forward to,/tuː lʊk ˈfɔːwəd tuː/,с нетерпением ждать
to put up with,/tuː pʊt ʌp wɪð/,мириться / терпеть
to give up,/tuː ɡɪv ʌp/,сдаваться / бросать
to carry on,/tuː ˈkæri ɒn/,продолжать
to get along with,/tuː ɡet əˈlɒŋ wɪð/,ладить с кем-то
to run out of,/tuː rʌn aʊt ɒv/,закончиться (о запасах)
to turn down,/tuː tɜːn daʊn/,отклонить / отказаться
to point out,/tuː pɔɪnt aʊt/,указать / отметить
to bring up,/tuː brɪŋ ʌp/,поднять тему / воспитывать
to end up,/tuː end ʌp/,в итоге оказаться
to work out,/tuː wɜːk aʊt/,получиться / тренироваться
to sort out,/tuː sɔːt aʊt/,уладить / разобраться
to catch up,/tuː kætʃ ʌp/,догнать / наверстать
to look into,/tuː lʊk ˈɪntuː/,изучить вопрос
to set up,/tuː set ʌp/,организовать / настроить
to deal with,/tuː diːl wɪð/,разбираться / справляться
to make up for,/tuː meɪk ʌp fɔː/,компенсировать
to get over,/tuː ɡet ˈəʊvə/,пережить / прийти в себя
# ─────────── B2 · МНЕНИЕ И ДИСКУССИЯ ───────────
In my opinion,/ɪn maɪ əˈpɪnjən/,по моему мнению
As far as I'm concerned,/əz fɑːr əz aɪm kənˈsɜːnd/,что касается меня
It seems to me that,/ɪt siːmz tuː miː ðæt/,мне кажется, что
I'm convinced that,/aɪm kənˈvɪnst ðæt/,я убеждён, что
There's no doubt that,/ðeəz nəʊ daʊt ðæt/,нет сомнений, что
On the one hand,/ɒn ðə wʌn hænd/,с одной стороны
On the other hand,/ɒn ðiː ˈʌðə hænd/,с другой стороны
It's worth mentioning,/ɪts wɜːθ ˈmenʃənɪŋ/,стоит упомянуть
I couldn't agree more,/aɪ ˈkʊdənt əˈɡriː mɔː/,полностью согласен
I see your point but,/aɪ siː jɔː pɔɪnt bʌt/,я понимаю тебя, но
That's a matter of opinion,/ðæts ə ˈmætər ɒv əˈpɪnjən/,это спорный вопрос
To be fair,/tuː biː feə/,справедливости ради
As a matter of fact,/əz ə ˈmætər ɒv fækt/,на самом деле
It depends on,/ɪt dɪˈpendz ɒn/,это зависит от
I'd argue that,/aɪd ˈɑːɡjuː ðæt/,я бы сказал, что
# ─────────── B2 · РАБОТА И КАРЬЕРА ───────────
to apply for a job,/tuː əˈplaɪ fɔːr ə dʒɒb/,подавать на работу
to attend an interview,/tuː əˈtend ən ˈɪntəvjuː/,прийти на собеседование
to get promoted,/tuː ɡet prəˈməʊtɪd/,получить повышение
to meet expectations,/tuː miːt ˌekspekˈteɪʃənz/,оправдать ожидания
to work under pressure,/tuː wɜːk ˈʌndə ˈpreʃə/,работать под давлением
to take on a project,/tuː teɪk ɒn ə ˈprɒdʒekt/,взяться за проект
to hand in a report,/tuː hænd ɪn ə rɪˈpɔːt/,сдать отчёт
to be in charge of,/tuː biː ɪn tʃɑːdʒ ɒv/,отвечать за / руководить
a demanding job,/ə dɪˈmɑːndɪŋ dʒɒb/,требовательная работа
a steady income,/ə ˈstedi ˈɪnkʌm/,стабильный доход
a tight schedule,/ə taɪt ˈʃedjuːl/,плотный график
to call in sick,/tuː kɔːl ɪn sɪk/,отпроситься по болезни
to work overtime,/tuː wɜːk ˈəʊvətaɪm/,работать сверхурочно
to give notice,/tuː ɡɪv ˈnəʊtɪs/,предупредить об увольнении
to be self-employed,/tuː biː ˌselfɪmˈplɔɪd/,работать на себя
# ─────────── B2 · ЭМОЦИИ И ХАРАКТЕР ───────────
to be over the moon,/tuː biː ˈəʊvə ðə muːn/,быть на седьмом небе от счастья
to feel down,/tuː fiːl daʊn/,быть в подавленном настроении
to be scared to death,/tuː biː skeəd tuː deθ/,быть до смерти напуганным
to lose your temper,/tuː luːz jɔː ˈtempə/,выйти из себя
to calm down,/tuː kɑːm daʊn/,успокоиться
to be fed up,/tuː biː fed ʌp/,быть сытым по горло
to feel left out,/tuː fiːl left aʊt/,чувствовать себя лишним
to be in a good mood,/tuː biː ɪn ə ɡʊd muːd/,быть в хорошем настроении
to get on your nerves,/tuː ɡet ɒn jɔː nɜːvz/,действовать на нервы
to break down,/tuː breɪk daʊn/,расплакаться / сорваться
to cheer up,/tuː tʃɪər ʌp/,взбодриться / развеселиться
to be worried sick,/tuː biː ˈwʌrid sɪk/,извелся от беспокойства
to feel at ease,/tuː fiːl ət iːz/,чувствовать себя непринуждённо
to be under stress,/tuː biː ˈʌndə stres/,быть в стрессе
mixed feelings,/mɪkst ˈfiːlɪŋz/,смешанные чувства
# ─────────── B2 · ИДИОМЫ ───────────
It's a piece of cake,/ɪts ə piːs ɒv keɪk/,это проще простого
Once in a blue moon,/wʌns ɪn ə bluː muːn/,очень редко
To break the ice,/tuː breɪk ðiː aɪs/,разрядить обстановку
It costs an arm and a leg,/ɪt kɒsts ən ɑːm ænd ə leɡ/,это стоит целое состояние
To be on the same wavelength,/tuː biː ɒn ðə seɪm ˈweɪvleŋθ/,быть на одной волне
To get cold feet,/tuː ɡet kəʊld fiːt/,струсить в последний момент
To hit the nail on the head,/tuː hɪt ðə neɪl ɒn ðə hed/,попасть в точку
To pull yourself together,/tuː pʊl jɔːˈself təˈɡeðə/,взять себя в руки
To be a pain in the neck,/tuː biː ə peɪn ɪn ðə nek/,быть занозой / раздражать
To go the extra mile,/tuː ɡəʊ ðiː ˈekstrə maɪl/,приложить сверхусилия
The last straw,/ðə lɑːst strɔː/,последняя капля
To be worth a fortune,/tuː biː wɜːθ ə ˈfɔːtʃən/,стоить целое состояние
To have second thoughts,/tuː hæv ˈsekənd θɔːts/,засомневаться / передумать
To keep an eye on,/tuː kiːp ən aɪ ɒn/,приглядывать за
To take it for granted,/tuː teɪk ɪt fɔː ˈɡrɑːntɪd/,принимать как должное
