English,Transcription,Русский
to drive a car,/tuː draɪv ə kɑːr/,водить машину
to fly to London,/tuː flaɪ tuː ˈlʌndən/,лететь в Лондон
to swim in the sea,/tuː swɪm ɪn ðə siː/,плавать в море
to jump high,/tuː dʒʌmp haɪ/,прыгать высоко
to sit down,/tuː sɪt daʊn/,садиться
to stand up,/tuː stænd ʌp/,вставать
to open the door,/tuː ˈəʊpən ðə dɔːr/,открыть дверь
to close the window,/tuː kləʊz ðə ˈwɪndəʊ/,закрыть окно
to start work,/tuː stɑːt wɜːk/,начинать работу
to finish work,/tuː ˈfɪnɪʃ wɜːk/,заканчивать работу
to stop the car,/tuː stɒp ðə kɑːr/,остановить машину
to keep calm,/tuː kiːp kɑːm/,сохранять спокойствие
to put it here,/tuː pʊt ɪt hɪər/,положить это сюда
to bring water,/tuː brɪŋ ˈwɔːtər/,принести воду
to carry a bag,/tuː ˈkæri ə bæɡ/,нести сумку
to hold my hand,/tuː həʊld maɪ hænd/,держать за руку
to turn left,/tuː tɜːn left/,повернуть налево
to move away,/tuː muːv əˈweɪ/,отодвигаться / переезжать
to change plans,/tuː tʃeɪndʒ plænz/,менять планы
to try again,/tuː traɪ əˈɡen/,попробовать снова
to use a phone,/tuː juːz ə fəʊn/,пользоваться телефоном
to help a friend,/tuː help ə frend/,помочь другу
to ask a question,/tuː ɑːsk ə ˈkwestʃən/,задать вопрос
to answer a question,/tuː ˈɑːnsər ə ˈkwestʃən/,ответить на вопрос
to call a friend,/tuː kɔːl ə frend/,позвонить другу
to show the way,/tuː ʃəʊ ðə weɪ/,показать дорогу
to believe in magic,/tuː bɪˈliːv ɪn ˈmædʒɪk/,верить в магию
to remember a name,/tuː rɪˈmembər ə neɪm/,помнить имя
to forget a name,/tuː fəˈɡet ə neɪm/,забыть имя
to understand English,/tuː ˌʌndəˈstænd ˈɪŋɡlɪʃ/,понимать английский
to learn English,/tuː lɜːn ˈɪŋɡlɪʃ/,учить английский
to teach children,/tuː tiːtʃ ˈtʃɪldrən/,учить детей
to study hard,/tuː ˈstʌdi hɑːd/,усердно учиться
to cook dinner,/tuː kʊk ˈdɪnər/,готовить ужин
to clean the house,/tuː kliːn ðə haʊs/,убирать дом
to wash hands,/tuː wɒʃ hændz/,мыть руки
to wear a coat,/tuː weər ə kəʊt/,носить пальто
to meet friends,/tuː miːt frendz/,встречать друзей
to leave home,/tuː liːv həʊm/,уходить из дома
to stay home,/tuː steɪ həʊm/,оставаться дома
to wait for you,/tuː weɪt fɔːr juː/,ждать тебя
to become a doctor,/tuː bɪˈkʌm ə ˈdɒktər/,стать врачом
to lose keys,/tuː luːz kiːz/,потерять ключи
to win a game,/tuː wɪn ə ɡeɪm/,выиграть игру
to choose a film,/tuː tʃuːz ə fɪlm/,выбрать фильм
to decide now,/tuː dɪˈsaɪd naʊ/,решить сейчас
to hope for the best,/tuː həʊp fɔːr ðə best/,надеяться на лучшее
to care about someone,/tuː keər əˈbaʊt ˈsʌmwʌn/,заботиться о ком-то
to worry about it,/tuː ˈwʌri əˈbaʊt ɪt/,волноваться об этом
to enjoy the film,/tuː ɪnˈdʒɔɪ ðə fɪlm/,наслаждаться фильмом
to laugh a lot,/tuː lɑːf ə lɒt/,много смеяться
to smile at someone,/tuː smaɪl ət ˈsʌmwʌn/,улыбаться кому-то
to grow fast,/tuː ɡrəʊ fɑːst/,быстро расти
to build a house,/tuː bɪld ə haʊs/,строить дом
to break a glass,/tuː breɪk ə ɡlɑːs/,разбить стакан
to fix a car,/tuː fɪks ə kɑːr/,чинить машину
to cut bread,/tuː kʌt bred/,резать хлеб
to throw a ball,/tuː θrəʊ ə bɔːl/,бросать мяч
to catch a ball,/tuː kætʃ ə bɔːl/,ловить мяч
to fall down,/tuː fɔːl daʊn/,падать
to hide in the dark,/tuː haɪd ɪn ðə dɑːk/,прятаться в темноте
to fight a monster,/tuː faɪt ə ˈmɒnstər/,сражаться с монстром
to save a life,/tuː seɪv ə laɪf/,спасти жизнь
to protect a family,/tuː prəˈtekt ə ˈfæməli/,защищать семью
to follow me,/tuː ˈfɒləʊ miː/,следовать за мной
to send a message,/tuː send ə ˈmesɪdʒ/,отправить сообщение
to spend money,/tuː spend ˈmʌni/,тратить деньги
to count to ten,/tuː kaʊnt tuː ten/,считать до десяти
to explain a rule,/tuː ɪkˈspleɪn ə ruːl/,объяснить правило
to agree with you,/tuː əˈɡriː wɪð juː/,соглашаться с тобой
to promise to help,/tuː ˈprɒmɪs tuː help/,обещать помочь
to seem happy,/tuː siːm ˈhæpi/,казаться счастливым
# ─────────── ФРАЗОВЫЕ ГЛАГОЛЫ (PHRASAL VERBS) ───────────
get up,/ɡet ʌp/,вставать (с постели)
wake up,/weɪk ʌp/,просыпаться
get on,/ɡet ɒn/,садиться (в транспорт)
get off,/ɡet ɒf/,выходить (из транспорта)
give up,/ɡɪv ʌp/,сдаваться
look for,/lʊk fɔːr/,искать
look after,/lʊk ˈɑːftər/,заботиться о
look forward to,/lʊk ˈfɔːwəd tuː/,с нетерпением ждать
find out,/faɪnd aʊt/,выяснять
turn on,/tɜːn ɒn/,включать
turn off,/tɜːn ɒf/,выключать
put on,/pʊt ɒn/,надевать
take off,/teɪk ɒf/,снимать / взлетать
pick up,/pɪk ʌp/,забирать / поднимать
grow up,/ɡrəʊ ʌp/,взрослеть
come back,/kʌm bæk/,возвращаться
go out,/ɡəʊ aʊt/,выходить (гулять)
run out of,/rʌn aʊt ɒv/,заканчиваться (о запасе)
take care of,/teɪk keər ɒv/,заботиться о
# ─────────── ЛЮДИ И СЕМЬЯ (PEOPLE & FAMILY) ───────────
man,/mæn/,мужчина
woman,/ˈwʊmən/,женщина
child,/tʃaɪld/,ребёнок
children,/ˈtʃɪldrən/,дети
baby,/ˈbeɪbi/,малыш
boy,/bɔɪ/,мальчик
girl,/ɡɜːl/,девочка
family,/ˈfæməli/,семья
mother,/ˈmʌðər/,мама
father,/ˈfɑːðər/,папа
parents,/ˈpeərənts/,родители
son,/sʌn/,сын
daughter,/ˈdɔːtər/,дочь
brother,/ˈbrʌðər/,брат
sister,/ˈsɪstər/,сестра
husband,/ˈhʌzbənd/,муж
wife,/waɪf/,жена
grandmother,/ˈɡrænmʌðər/,бабушка
grandfather,/ˈɡrænfɑːðər/,дедушка
friend,/frend/,друг
neighbour,/ˈneɪbər/,сосед
people,/ˈpiːpəl/,люди
person,/ˈpɜːsən/,человек
# ─────────── ДОМ (HOME) ───────────
house,/haʊs/,дом
home,/həʊm/,дом (родной)
room,/ruːm/,комната
kitchen,/ˈkɪtʃɪn/,кухня
bedroom,/ˈbedruːm/,спальня
bathroom,/ˈbɑːθruːm/,ванная
door,/dɔːr/,дверь
window,/ˈwɪndəʊ/,окно
wall,/wɔːl/,стена
floor,/flɔːr/,пол
table,/ˈteɪbəl/,стол
chair,/tʃeər/,стул
bed,/bed/,кровать
key,/kiː/,ключ
light,/laɪt/,свет
phone,/fəʊn/,телефон
clock,/klɒk/,часы (настенные)
mirror,/ˈmɪrər/,зеркало
garden,/ˈɡɑːdən/,сад
# ─────────── ЕДА И КАФЕ (FOOD & CAFE) ───────────
food,/fuːd/,еда
water,/ˈwɔːtər/,вода
coffee,/ˈkɒfi/,кофе
tea,/tiː/,чай
milk,/mɪlk/,молоко
juice,/dʒuːs/,сок
bread,/bred/,хлеб
butter,/ˈbʌtər/,масло
cheese,/tʃiːz/,сыр
egg,/eɡ/,яйцо
meat,/miːt/,мясо
chicken,/ˈtʃɪkɪn/,курица
fish,/fɪʃ/,рыба
soup,/suːp/,суп
salad,/ˈsæləd/,салат
rice,/raɪs/,рис
fruit,/fruːt/,фрукты
apple,/ˈæpəl/,яблоко
sugar,/ˈʃʊɡər/,сахар
salt,/sɔːlt/,соль
breakfast,/ˈbrekfəst/,завтрак
lunch,/lʌntʃ/,обед
dinner,/ˈdɪnər/,ужин
menu,/ˈmenjuː/,меню
plate,/pleɪt/,тарелка
cup,/kʌp/,чашка
glass,/ɡlɑːs/,стакан
spoon,/spuːn/,ложка
fork,/fɔːk/,вилка
knife,/naɪf/,нож
bill,/bɪl/,счёт
waiter,/ˈweɪtər/,официант
delicious,/dɪˈlɪʃəs/,очень вкусный
hungry,/ˈhʌŋɡri/,голодный
thirsty,/ˈθɜːsti/,испытывающий жажду
# ─────────── ПРИРОДА И ЖИВОТНЫЕ (NATURE & ANIMALS) ───────────
nature,/ˈneɪtʃər/,природа
tree,/triː/,дерево
flower,/ˈflaʊər/,цветок
grass,/ɡrɑːs/,трава
forest,/ˈfɒrɪst/,лес
mountain,/ˈmaʊntɪn/,гора
river,/ˈrɪvər/,река
sea,/siː/,море
lake,/leɪk/,озеро
sky,/skaɪ/,небо
sun,/sʌn/,солнце
moon,/muːn/,луна
star,/stɑːr/,звезда
rain,/reɪn/,дождь
snow,/snəʊ/,снег
wind,/wɪnd/,ветер
fire,/ˈfaɪər/,огонь
stone,/stəʊn/,камень
animal,/ˈænɪməl/,животное
dog,/dɒɡ/,собака
cat,/kæt/,кошка
bird,/bɜːd/,птица
horse,/hɔːs/,лошадь
wolf,/wʊlf/,волк
bear,/beər/,медведь
snake,/sneɪk/,змея
spider,/ˈspaɪdər/,паук
# ─────────── ГОРОД И ПУТЕШЕСТВИЯ (CITY & TRAVEL) ───────────
city,/ˈsɪti/,город
town,/taʊn/,городок
street,/striːt/,улица
road,/rəʊd/,дорога
shop,/ʃɒp/,магазин
market,/ˈmɑːkɪt/,рынок
hospital,/ˈhɒspɪtəl/,больница
school,/skuːl/,школа
station,/ˈsteɪʃən/,станция / вокзал
airport,/ˈeəpɔːt/,аэропорт
hotel,/həʊˈtel/,отель
bank,/bæŋk/,банк
church,/tʃɜːtʃ/,церковь
park,/pɑːk/,парк
bridge,/brɪdʒ/,мост
map,/mæp/,карта
ticket,/ˈtɪkɪt/,билет
passport,/ˈpɑːspɔːt/,паспорт
luggage,/ˈlʌɡɪdʒ/,багаж
train,/treɪn/,поезд
bus,/bʌs/,автобус
car,/kɑːr/,машина
plane,/pleɪn/,самолёт
taxi,/ˈtæksi/,такси
flight,/flaɪt/,рейс / полёт
trip,/trɪp/,поездка
holiday,/ˈhɒlədeɪ/,отпуск / праздник
# ─────────── ТЕЛО И ЗДОРОВЬЕ (BODY & HEALTH) ───────────
head,/hed/,голова
face,/feɪs/,лицо
eye,/aɪ/,глаз
ear,/ɪər/,ухо
nose,/nəʊz/,нос
mouth,/maʊθ/,рот
tooth,/tuːθ/,зуб
hair,/heər/,волосы
hand,/hænd/,рука (кисть)
arm,/ɑːm/,рука
leg,/leɡ/,нога
foot,/fʊt/,ступня
heart,/hɑːt/,сердце
blood,/blʌd/,кровь
skin,/skɪn/,кожа
doctor,/ˈdɒktər/,врач
medicine,/ˈmedsɪn/,лекарство
pain,/peɪn/,боль
health,/helθ/,здоровье
sick,/sɪk/,больной
# ─────────── ВРЕМЯ (TIME) ───────────
time,/taɪm/,время
day,/deɪ/,день
night,/naɪt/,ночь
morning,/ˈmɔːnɪŋ/,утро
evening,/ˈiːvnɪŋ/,вечер
week,/wiːk/,неделя
month,/mʌnθ/,месяц
year,/jɪər/,год
today,/təˈdeɪ/,сегодня
tomorrow,/təˈmɒrəʊ/,завтра
yesterday,/ˈjestədeɪ/,вчера
hour,/ˈaʊər/,час
minute,/ˈmɪnɪt/,минута
Monday,/ˈmʌndeɪ/,понедельник
Friday,/ˈfraɪdeɪ/,пятница
weekend,/ˌwiːkˈend/,выходные
# ─────────── РАБОТА И ДЕНЬГИ (WORK & MONEY) ───────────
work,/wɜːk/,работа
job,/dʒɒb/,работа (должность)
money,/ˈmʌni/,деньги
price,/praɪs/,цена
card,/kɑːd/,карта (банковская)
cash,/kæʃ/,наличные
office,/ˈɒfɪs/,офис
boss,/bɒs/,начальник
company,/ˈkʌmpəni/,компания
business,/ˈbɪznɪs/,бизнес / дело
customer,/ˈkʌstəmər/,клиент
free,/friː/,бесплатный / свободный
expensive,/ɪkˈspensɪv/,дорогой
cheap,/tʃiːp/,дешёвый
# ─────────── ПРИЛАГАТЕЛЬНЫЕ (ADJECTIVES) ───────────
good,/ɡʊd/,хороший
bad,/bæd/,плохой
big,/bɪɡ/,большой
small,/smɔːl/,маленький
new,/njuː/,новый
old,/əʊld/,старый
young,/jʌŋ/,молодой
long,/lɒŋ/,длинный
short,/ʃɔːt/,короткий
high,/haɪ/,высокий
low,/ləʊ/,низкий
hot,/hɒt/,горячий
cold,/kəʊld/,холодный
warm,/wɔːm/,тёплый
fast,/fɑːst/,быстрый
slow,/sləʊ/,медленный
easy,/ˈiːzi/,лёгкий
hard,/hɑːd/,трудный / твёрдый
happy,/ˈhæpi/,счастливый
sad,/sæd/,грустный
angry,/ˈæŋɡri/,сердитый
scared,/skeəd/,испуганный
tired,/ˈtaɪəd/,уставший
strong,/strɒŋ/,сильный
weak,/wiːk/,слабый
beautiful,/ˈbjuːtɪfəl/,красивый
ugly,/ˈʌɡli/,уродливый
clean,/kliːn/,чистый
dirty,/ˈdɜːti/,грязный
full,/fʊl/,полный
empty,/ˈempti/,пустой
right,/raɪt/,правильный / правый
wrong,/rɒŋ/,неправильный
true,/truː/,правдивый
important,/ɪmˈpɔːtənt/,важный
different,/ˈdɪfrənt/,разный
same,/seɪm/,одинаковый
dark,/dɑːk/,тёмный
bright,/braɪt/,яркий
dangerous,/ˈdeɪndʒərəs/,опасный
safe,/seɪf/,безопасный
famous,/ˈfeɪməs/,знаменитый
funny,/ˈfʌni/,смешной
scary,/ˈskeəri/,страшный
strange,/streɪndʒ/,странный
quiet,/ˈkwaɪət/,тихий
loud,/laʊd/,громкий
# ─────────── НАРЕЧИЯ (ADVERBS) ───────────
now,/naʊ/,сейчас
then,/ðen/,тогда / потом
here,/hɪər/,здесь
there,/ðeər/,там
always,/ˈɔːlweɪz/,всегда
usually,/ˈjuːʒuəli/,обычно
often,/ˈɒfən/,часто
sometimes,/ˈsʌmtaɪmz/,иногда
never,/ˈnevər/,никогда
already,/ɔːlˈredi/,уже
still,/stɪl/,всё ещё
yet,/jet/,ещё (в вопросах/отриц.)
just,/dʒʌst/,только что / просто
soon,/suːn/,скоро
late,/leɪt/,поздно
early,/ˈɜːli/,рано
together,/təˈɡeðər/,вместе
alone,/əˈləʊn/,один
really,/ˈrɪəli/,действительно
very,/ˈveri/,очень
too,/tuː/,слишком / тоже
also,/ˈɔːlsəʊ/,также
almost,/ˈɔːlməʊst/,почти
maybe,/ˈmeɪbi/,может быть
probably,/ˈprɒbəbli/,вероятно
quickly,/ˈkwɪkli/,быстро
slowly,/ˈsləʊli/,медленно
carefully,/ˈkeəfəli/,осторожно
suddenly,/ˈsʌdənli/,вдруг
# ─────────── ПРЕДЛОГИ (PREPOSITIONS) ───────────
in,/ɪn/,в
on,/ɒn/,на
at,/æt/,в / на (точка)
to,/tuː/,к
from,/frɒm/,из / от
of,/ɒv/,принадлежность (кого/чего)
with,/wɪð/,с
without,/wɪˈðaʊt/,без
for,/fɔːr/,для / за
about,/əˈbaʊt/,о / около
under,/ˈʌndər/,под
over,/ˈəʊvər/,над
between,/bɪˈtwiːn/,между
behind,/bɪˈhaɪnd/,позади
in front of,/ɪn frʌnt ɒv/,перед
next to,/nekst tuː/,рядом с
near,/nɪər/,около
before,/bɪˈfɔːr/,перед / до
after,/ˈɑːftər/,после
during,/ˈdjʊərɪŋ/,во время
until,/ənˈtɪl/,до (момента)
through,/θruː/,сквозь / через
across,/əˈkrɒs/,через (поперёк)
into,/ˈɪntuː/,внутрь
# ─────────── МЕСТОИМЕНИЯ И СЛОВА-ВОПРОСЫ ───────────
who,/huː/,кто
what,/wɒt/,что
where,/weər/,где / куда
when,/wen/,когда
why,/waɪ/,почему
how,/haʊ/,как
which,/wɪtʃ/,который
whose,/huːz/,чей
someone,/ˈsʌmwʌn/,кто-то
something,/ˈsʌmθɪŋ/,что-то
anything,/ˈeniθɪŋ/,что-нибудь
nothing,/ˈnʌθɪŋ/,ничего
everyone,/ˈevriwʌn/,каждый / все
everything,/ˈevriθɪŋ/,всё
# ─────────── СОЮЗЫ И СВЯЗКИ (LINKERS) ───────────
and,/ænd/,и
but,/bʌt/,но
or,/ɔːr/,или
so,/səʊ/,поэтому / так что
because,/bɪˈkɒz/,потому что
if,/ɪf/,если
when,/wen/,когда
while,/waɪl/,пока / в то время как
although,/ɔːlˈðəʊ/,хотя
however,/haʊˈevər/,однако
also,/ˈɔːlsəʊ/,также
than,/ðæn/,чем (сравнение)
as,/æz/,как / поскольку
that,/ðæt/,что (союз)
# ─────────── ЧАСТЫЕ ФРАЗЫ (EVERYDAY CHUNKS) ───────────
Hello!,/həˈləʊ/,Привет! / Здравствуйте!
Goodbye!,/ɡʊdˈbaɪ/,До свидания!
Thank you.,/ˈθæŋk juː/,Спасибо.
You're welcome.,/jɔːr ˈwelkəm/,Пожалуйста (в ответ).
Excuse me.,/ɪkˈskjuːz miː/,Извините.
I'm sorry.,/aɪm ˈsɒri/,Простите.
Nice to meet you.,/naɪs tuː miːt juː/,Приятно познакомиться.
How are you?,/haʊ ɑːr juː/,Как дела?
I'm fine.,/aɪm faɪn/,У меня всё хорошо.
What's your name?,/wɒts jɔːr neɪm/,Как тебя зовут?
My name is...,/maɪ neɪm ɪz/,Меня зовут...
I don't know.,/aɪ dəʊnt nəʊ/,Я не знаю.
I don't understand.,/aɪ dəʊnt ˌʌndərˈstænd/,Я не понимаю.
Can you help me?,/kæn juː help miː/,Можешь мне помочь?
Of course.,/ɒv kɔːs/,Конечно.
No problem.,/nəʊ ˈprɒbləm/,Без проблем.
Let's go!,/lets ɡəʊ/,Пойдём!
See you later.,/siː juː ˈleɪtər/,Увидимся позже.
Take care.,/teɪk keər/,Береги себя.
Good luck!,/ɡʊd lʌk/,Удачи!
# ─────────── ФРАЗЫ ДЛЯ ПУТЕШЕСТВИЙ И КАФЕ ───────────
I'll have a coffee.,/aɪl hæv ə ˈkɒfi/,Мне кофе (заказ).
Can I have the bill?,/kæn aɪ hæv ðə bɪl/,Можно счёт?
A table for two.,/ə ˈteɪbəl fɔːr tuː/,Столик на двоих.
How much is it?,/haʊ mʌtʃ ɪz ɪt/,Сколько это стоит?
Do you take card?,/duː juː teɪk kɑːd/,Оплата картой есть?
Where is the toilet?,/weər ɪz ðə ˈtɔɪlət/,Где туалет?
I have a reservation.,/aɪ hæv ə ˌrezərˈveɪʃən/,У меня бронь.
I'm lost.,/aɪm lɒst/,Я заблудился.
Turn left.,/tɜːn left/,Поверните налево.
Go straight.,/ɡəʊ streɪt/,Идите прямо.
Can you speak slowly?,/kæn juː spiːk ˈsləʊli/,Можете говорить медленнее?
I'm from Russia.,/aɪm frɒm ˈrʌʃə/,Я из России.
I'm learning English.,/aɪm ˈlɜːnɪŋ ˈɪŋɡlɪʃ/,Я учу английский.
# ─────────── СЛОЖНЫЕ КОНСТРУКЦИИ B1–B2 ───────────
I would like to...,/aɪ wʊd laɪk tuː/,Я хотел(а) бы... (вежливо)
I'd rather...,/aɪd ˈrɑːðər/,Я бы предпочёл...
I used to...,/aɪ juːst tuː/,Раньше я... (было привычкой)
I'm used to...,/aɪm juːst tuː/,Я привык(ла) к...
I'm going to...,/aɪm ˈɡəʊɪŋ tuː/,Я собираюсь...
I have to...,/aɪ hæv tuː/,Я должен (вынужден)...
I should...,/aɪ ʃʊd/,Мне следует...
I might...,/aɪ maɪt/,Я может быть...
You'd better...,/juːd ˈbetər/,Тебе лучше... (совет)
It depends on...,/ɪt dɪˈpendz ɒn/,Это зависит от...
It looks like...,/ɪt lʊks laɪk/,Похоже что...
It seems that...,/ɪt siːmz ðæt/,Кажется что...
as soon as,/əz suːn əz/,как только
as long as,/əz lɒŋ əz/,пока / при условии
in order to,/ɪn ˈɔːdər tuː/,чтобы (с целью)
even though,/ˈiːvən ðəʊ/,несмотря на то что
by the way,/baɪ ðə weɪ/,кстати
on the other hand,/ɒn ðiː ˈʌðər hænd/,с другой стороны
in my opinion,/ɪn maɪ əˈpɪnjən/,по моему мнению
That's why...,/ðæts waɪ/,Вот почему...
The more the better.,/ðə mɔːr ðə ˈbetər/,Чем больше тем лучше.
If I were you...,/ɪf aɪ wɜːr juː/,На твоём месте я бы...
I wish I could...,/aɪ wɪʃ aɪ kʊd/,Жаль что я не могу...
I can't wait to...,/aɪ kɑːnt weɪt tuː/,Не могу дождаться чтобы...
Would you mind...?,/wʊd juː maɪnd/,Не мог бы ты...? (вежливо)
# ─────────── ЧАСТЫЕ ИДИОМЫ (IDIOMS) ───────────
It's up to you.,/ɪts ʌp tuː juː/,Решать тебе.
Never mind.,/ˈnevər maɪnd/,Неважно / забудь.
Take it easy.,/teɪk ɪt ˈiːzi/,Не переживай / расслабься.
It's worth it.,/ɪts wɜːθ ɪt/,Оно того стоит.
Make up your mind.,/meɪk ʌp jɔːr maɪnd/,Определись / реши.
piece of cake,/piːs ɒv keɪk/,проще простого
once in a while,/wʌns ɪn ə waɪl/,время от времени
out of the blue,/aʊt ɒv ðə bluː/,как гром среди ясного неба
# ─────────── В СТИЛЕ ТВОИХ ФИЛЬМОВ 🧛 ───────────
witch,/wɪtʃ/,ведьма
vampire,/ˈvæmpaɪər/,вампир
monster,/ˈmɒnstər/,монстр
hunter,/ˈhʌntər/,охотник
ghost,/ɡəʊst/,призрак
demon,/ˈdiːmən/,демон
soul,/səʊl/,душа
spell,/spel/,заклинание
magic,/ˈmædʒɪk/,магия
curse,/kɜːs/,проклятие
sword,/sɔːd/,меч
dark,/dɑːk/,тьма / тёмный
power,/ˈpaʊər/,сила / власть
She is not human.,/ʃiː ɪz nɒt ˈhjuːmən/,Она не человек.
He hunts monsters.,/hiː hʌnts ˈmɒnstəz/,Он охотится на монстров.
The night is dark.,/ðə naɪt ɪz dɑːk/,Ночь темна.
Blood never lies.,/blʌd ˈnevər laɪz/,Кровь никогда не лжёт.
# ─────────── ЦВЕТА (COLOURS) ───────────
colour,/ˈkʌlər/,цвет
red,/red/,красный
blue,/bluː/,синий / голубой
green,/ɡriːn/,зелёный
yellow,/ˈjeləʊ/,жёлтый
black,/blæk/,чёрный
white,/waɪt/,белый
orange,/ˈɒrɪndʒ/,оранжевый
pink,/pɪŋk/,розовый
purple,/ˈpɜːpəl/,фиолетовый
brown,/braʊn/,коричневый
grey,/ɡreɪ/,серый
gold,/ɡəʊld/,золотой
silver,/ˈsɪlvər/,серебряный
# ─────────── ПОГОДА (WEATHER) ───────────
weather,/ˈweðər/,погода
sunny,/ˈsʌni/,солнечно
cloudy,/ˈklaʊdi/,облачно
rainy,/ˈreɪni/,дождливо
windy,/ˈwɪndi/,ветрено
snowy,/ˈsnəʊi/,снежно
foggy,/ˈfɒɡi/,туманно
storm,/stɔːm/,буря / шторм
thunder,/ˈθʌndər/,гром
lightning,/ˈlaɪtnɪŋ/,молния
cloud,/klaʊd/,облако
ice,/aɪs/,лёд
heat,/hiːt/,жара
degree,/dɪˈɡriː/,градус
It's raining.,/ɪts ˈreɪnɪŋ/,Идёт дождь.
It's cold today.,/ɪts kəʊld təˈdeɪ/,Сегодня холодно.
# ─────────── ЖИВОТНЫЕ (ANIMALS) ───────────
cow,/kaʊ/,корова
pig,/pɪɡ/,свинья
sheep,/ʃiːp/,овца
goat,/ɡəʊt/,коза
rabbit,/ˈræbɪt/,кролик
mouse,/maʊs/,мышь
fox,/fɒks/,лиса
deer,/dɪər/,олень
lion,/ˈlaɪən/,лев
tiger,/ˈtaɪɡər/,тигр
elephant,/ˈelɪfənt/,слон
monkey,/ˈmʌŋki/,обезьяна
frog,/frɒɡ/,лягушка
duck,/dʌk/,утка
chicken,/ˈtʃɪkɪn/,курица
tail,/teɪl/,хвост
wing,/wɪŋ/,крыло
# ─────────── НАСЕКОМЫЕ (INSECTS) ───────────
insect,/ˈɪnsekt/,насекомое
bee,/biː/,пчела
ant,/ænt/,муравей
mosquito,/məˈskiːtəʊ/,комар
butterfly,/ˈbʌtəflaɪ/,бабочка
wasp,/wɒsp/,оса
beetle,/ˈbiːtəl/,жук
worm,/wɜːm/,червяк
snail,/sneɪl/,улитка
# ─────────── МОРСКИЕ (SEA CREATURES) ───────────
shark,/ʃɑːk/,акула
whale,/weɪl/,кит
dolphin,/ˈdɒlfɪn/,дельфин
octopus,/ˈɒktəpəs/,осьминог
crab,/kræb/,краб
jellyfish,/ˈdʒelifɪʃ/,медуза
seal,/siːl/,тюлень
turtle,/ˈtɜːtəl/,черепаха
shell,/ʃel/,ракушка
wave,/weɪv/,волна
# ─────────── ФРУКТЫ (FRUITS) ───────────
banana,/bəˈnɑːnə/,банан
orange (fruit),/ˈɒrɪndʒ/,апельсин
lemon,/ˈlemən/,лимон
grape,/ɡreɪp/,виноград
strawberry,/ˈstrɔːbəri/,клубника
cherry,/ˈtʃeri/,вишня
peach,/piːtʃ/,персик
pear,/peər/,груша
watermelon,/ˈwɔːtəmelən/,арбуз
pineapple,/ˈpaɪnæpəl/,ананас
# ─────────── ОВОЩИ (VEGETABLES) ───────────
vegetable,/ˈvedʒtəbəl/,овощ
potato,/pəˈteɪtəʊ/,картофель
tomato,/təˈmɑːtəʊ/,помидор
carrot,/ˈkærət/,морковь
onion,/ˈʌnjən/,лук
cucumber,/ˈkjuːkʌmbər/,огурец
cabbage,/ˈkæbɪdʒ/,капуста
pepper,/ˈpepər/,перец
garlic,/ˈɡɑːlɪk/,чеснок
mushroom,/ˈmʌʃruːm/,гриб
corn,/kɔːn/,кукуруза
bean,/biːn/,фасоль
# ─────────── ТЕХНИКА (TECHNOLOGY) ───────────
