English,Transcription,Русский
guilt,/ɡɪlt/,вина
shame,/ʃeɪm/,стыд
sympathy,/ˈsɪmpəθi/,сочувствие
respect,/rɪˈspekt/,уважение
attention,/əˈtenʃən/,внимание
# ─────────── B1 · ГОРОД И ЖИЗНЬ ───────────
neighbourhood,/ˈneɪbəhʊd/,район
traffic,/ˈtræfɪk/,движение / пробки
pollution,/pəˈluːʃən/,загрязнение
crowd,/kraʊd/,толпа
queue,/kjuː/,очередь
journey,/ˈdʒɜːni/,поездка / путь
destination,/ˌdestɪˈneɪʃən/,пункт назначения
accommodation,/əˌkɒməˈdeɪʃən/,жильё
rent,/rent/,аренда
landlord,/ˈlændlɔːd/,арендодатель
suburb,/ˈsʌbɜːb/,пригород
facility,/fəˈsɪləti/,удобство / объект
neighbour,/ˈneɪbə/,сосед
# ─────────── B1 · ТЕХНОЛОГИИ И НАУКА ───────────
technology,/tekˈnɒlədʒi/,технология
device,/dɪˈvaɪs/,устройство
software,/ˈsɒftweə/,программное обеспечение
data,/ˈdeɪtə/,данные
network,/ˈnetwɜːk/,сеть
invention,/ɪnˈvenʃən/,изобретение
discovery,/dɪˈskʌvəri/,открытие
experiment,/ɪkˈsperɪmənt/,эксперимент
energy,/ˈenədʒi/,энергия
machine,/məˈʃiːn/,машина / механизм
tool,/tuːl/,инструмент
# ─────────── B1 · ЗДОРОВЬЕ ───────────
health,/helθ/,здоровье
disease,/dɪˈziːz/,болезнь
illness,/ˈɪlnəs/,недомогание / болезнь
treatment,/ˈtriːtmənt/,лечение
injury,/ˈɪndʒəri/,травма
patient,/ˈpeɪʃənt/,пациент
diet,/ˈdaɪət/,диета / питание
exercise,/ˈeksəsaɪz/,упражнение / зарядка
