English,Transcription,Русский
stake / steak,/steɪk/,кол / стейк
stalk / stork,/stɔːk/,стебель / аист
story / storey,/ˈstɔːri/,история / этаж
sundae / Sunday,/ˈsʌndeɪ/,мороженое / воскресенье
sweet / suite,/swiːt/,сладкий / номер (люкс)
taught / taut,/tɔːt/,учил / натянутый
throne / thrown,/θrəʊn/,трон / брошенный
tire / tyre,/taɪə/,уставать / шина (Am/Br)
wail / whale,/weɪl/,вопль / кит
waive / wave,/weɪv/,отказываться / волна
wet / whet,/wet/,мокрый / точить
whose / who's,/huːz/,чей / кто есть
your / you're,/jɔː/,твой / ты есть
aisle / isle,/aɪl/,проход / островок
assent / ascent,/əˈsent/,согласие / подъём
bazaar / bizarre,/bəˈzɑː/,базар / странный
boarder / border,/ˈbɔːdə/,жилец / граница
canvas / canvass,/ˈkænvəs/,холст / агитировать
discreet / discrete,/dɪˈskriːt/,осторожный / отдельный
idle / idol,/ˈaɪdəl/,праздный / кумир
in / inn,/ɪn/,в / трактир
mist / missed,/mɪst/,туман / пропустил
moose / mousse,/muːs/,лось / мусс
