English,Transcription,Русский
I close my eyes,/aɪ kləʊz maɪ aɪz/,я закрываю глаза
I smile at people,/aɪ smaɪl ət ˈpiːpəl/,я улыбаюсь людям
I ask a question,/aɪ ɑːsk ə ˈkwestʃən/,я задаю вопрос
I answer the phone,/aɪ ˈɑːnsə ðə fəʊn/,я отвечаю на звонок
I count the money,/aɪ kaʊnt ðə ˈmʌni/,я считаю деньги
I try my best,/aɪ traɪ maɪ best/,я стараюсь изо всех сил
I feel happy today,/aɪ fiːl ˈhæpi təˈdeɪ/,я счастлив(а) сегодня
I stay at home,/aɪ steɪ ət həʊm/,я остаюсь дома
I travel in summer,/aɪ ˈtrævəl ɪn ˈsʌmə/,я путешествую летом
I swim in the sea,/aɪ swɪm ɪn ðə siː/,я плаваю в море
I dance at parties,/aɪ dɑːns ət ˈpɑːtiz/,я танцую на вечеринках
I sing in the shower,/aɪ sɪŋ ɪn ðə ˈʃaʊə/,я пою в душе
I draw with my son,/aɪ drɔː wɪð maɪ sʌn/,я рисую с сыном
I take photos,/aɪ teɪk ˈfəʊtəʊz/,я фотографирую
I ride a bike,/aɪ raɪd ə baɪk/,я катаюсь на велосипеде
I catch the train,/aɪ kætʃ ðə treɪn/,я успеваю на поезд
I lock the door,/aɪ lɒk ðə dɔː/,я запираю дверь
I save money,/aɪ seɪv ˈmʌni/,я коплю деньги
# ─────────── A1 · НАПИТКИ ───────────
lemonade,/ˌleməˈneɪd/,лимонад
cola,/ˈkəʊlə/,кола
cocoa,/ˈkəʊkəʊ/,какао
milkshake,/ˈmɪlkʃeɪk/,молочный коктейль
smoothie,/ˈsmuːði/,смузи
sparkling water,/ˈspɑːklɪŋ ˈwɔːtə/,газированная вода
herbal tea,/ˈhɜːbəl tiː/,травяной чай
hot chocolate,/hɒt ˈtʃɒklət/,горячий шоколад
apple juice,/ˈæpəl dʒuːs/,яблочный сок
mineral water,/ˈmɪnərəl ˈwɔːtə/,минеральная вода
# ─────────── A1 · ФРУКТЫ ───────────
apple,/ˈæpəl/,яблоко
banana,/bəˈnɑːnə/,банан
orange,/ˈɒrɪndʒ/,апельсин
lemon,/ˈlemən/,лимон
grape,/ɡreɪp/,виноград
strawberry,/ˈstrɔːbəri/,клубника
cherry,/ˈtʃeri/,вишня
peach,/piːtʃ/,персик
pear,/peə/,груша
watermelon,/ˈwɔːtəmelən/,арбуз
# ─────────── A1 · ОВОЩИ ───────────
potato,/pəˈteɪtəʊ/,картофель
tomato,/təˈmɑːtəʊ/,помидор
carrot,/ˈkærət/,морковь
cucumber,/ˈkjuːkʌmbə/,огурец
cabbage,/ˈkæbɪdʒ/,капуста
corn,/kɔːn/,кукуруза
broccoli,/ˈbrɒkəli/,брокколи
lettuce,/ˈletɪs/,салат (листовой)
beetroot,/ˈbiːtruːt/,свёкла
peas,/piːz/,горох
# ─────────── A1 · ОДЕЖДА ───────────
shirt,/ʃɜːt/,рубашка
T-shirt,/ˈtiːʃɜːt/,футболка
dress,/dres/,платье
skirt,/skɜːt/,юбка
trousers,/ˈtraʊzəz/,брюки
jeans,/dʒiːnz/,джинсы
jumper,/ˈdʒʌmpə/,свитер
shoes,/ʃuːz/,обувь
boots,/buːts/,ботинки
socks,/sɒks/,носки
coat,/kəʊt/,пальто
jacket,/ˈdʒækɪt/,куртка
hat,/hæt/,шапка / шляпа
scarf,/skɑːf/,шарф
gloves,/ɡlʌvz/,перчатки
I put on my shoes,/aɪ pʊt ɒn maɪ ʃuːz/,я надеваю обувь
# ─────────── A1 · СЕЗОНЫ ───────────
spring,/sprɪŋ/,весна
summer,/ˈsʌmə/,лето
autumn,/ˈɔːtəm/,осень
winter,/ˈwɪntə/,зима
in winter it is cold,/ɪn ˈwɪntə ɪt ɪz kəʊld/,зимой холодно
I like summer,/aɪ laɪk ˈsʌmə/,я люблю лето
# ─────────── A1 · ЖИВОТНЫЕ ───────────
dog,/dɒɡ/,собака
cat,/kæt/,кошка
bird,/bɜːd/,птица
fish,/fɪʃ/,рыба
horse,/hɔːs/,лошадь
cow,/kaʊ/,корова
pig,/pɪɡ/,свинья
sheep,/ʃiːp/,овца
rabbit,/ˈræbɪt/,кролик
mouse,/maʊs/,мышь
duck,/dʌk/,утка
chicken,/ˈtʃɪkɪn/,курица
bee,/biː/,пчела
frog,/frɒɡ/,лягушка
I have a dog,/aɪ hæv ə dɒɡ/,у меня есть собака
The cat is sleeping,/ðə kæt ɪz ˈsliːpɪŋ/,кошка спит
# ─────────── A1 · ПРОФЕССИИ ───────────
teacher,/ˈtiːtʃə/,учитель
doctor,/ˈdɒktə/,врач
nurse,/nɜːs/,медсестра
driver,/ˈdraɪvə/,водитель
cook,/kʊk/,повар
waiter,/ˈweɪtə/,официант
seller,/ˈselə/,продавец
farmer,/ˈfɑːmə/,фермер
police officer,/pəˈliːs ˈɒfɪsə/,полицейский
I am a nurse,/aɪ æm ə nɜːs/,я медсестра
What do you do?,/wɒt duː juː duː/,кем ты работаешь?
I work as a teacher,/aɪ wɜːk əz ə ˈtiːtʃə/,я работаю учителем
# ─────────── A1 · ПРЕДЛОГИ ───────────
in the box,/ɪn ðə bɒks/,в коробке
on the table,/ɒn ðə ˈteɪbəl/,на столе
under the bed,/ˈʌndə ðə bed/,под кроватью
next to the door,/nekst tuː ðə dɔː/,рядом с дверью
behind the house,/bɪˈhaɪnd ðə haʊs/,за домом
in front of me,/ɪn frʌnt ɒv miː/,передо мной
between us,/bɪˈtwiːn ʌs/,между нами
near the park,/nɪə ðə pɑːk/,около парка
at home,/ət həʊm/,дома
at work,/ət wɜːk/,на работе
to the shop,/tuː ðə ʃɒp/,в магазин
from Russia,/frɒm ˈrʌʃə/,из России
with my friend,/wɪð maɪ frend/,с другом
without sugar,/wɪˈðaʊt ˈʃʊɡə/,без сахара
before lunch,/bɪˈfɔː lʌntʃ/,перед обедом
after work,/ˈɑːftə wɜːk/,после работы
# ─────────── A1 · ВРЕМЯ ───────────
What time is it?,/wɒt taɪm ɪz ɪt/,который час?
It is three o'clock,/ɪt ɪz θriː əˈklɒk/,сейчас три часа
half past two,/hɑːf pɑːst tuː/,половина третьего
a quarter to five,/ə ˈkwɔːtə tuː faɪv/,без пятнадцати пять
in the morning,/ɪn ðə ˈmɔːnɪŋ/,утром
in the afternoon,/ɪn ðiː ˌɑːftəˈnuːn/,днём
at night,/ət naɪt/,ночью
today,/təˈdeɪ/,сегодня
tomorrow,/təˈmɒrəʊ/,завтра
yesterday,/ˈjestədeɪ/,вчера
now,/naʊ/,сейчас
soon,/suːn/,скоро
every day,/ˈevri deɪ/,каждый день
on Monday,/ɒn ˈmʌndeɪ/,в понедельник
at the weekend,/ət ðə ˌwiːkˈend/,на выходных
See you tomorrow,/siː juː təˈmɒrəʊ/,увидимся завтра
# ─────────── A1 · ВЫЖИВАНИЕ И ПОМОЩЬ ───────────
Help!,/help/,Помогите!
Excuse me,/ɪkˈskjuːz miː/,извините / простите
I'm sorry,/aɪm ˈsɒri/,извините
Thank you,/ˈθæŋk juː/,спасибо
Please,/pliːz/,пожалуйста
Yes / No,/jes — nəʊ/,да / нет
I don't understand,/aɪ dəʊnt ˌʌndəˈstænd/,я не понимаю
Can you help me?,/kæn juː help miː/,можете мне помочь?
Where is the toilet?,/weə ɪz ðə ˈtɔɪlət/,где туалет?
Where is the exit?,/weə ɪz ðiː ˈeksɪt/,где выход?
How do I get there?,/haʊ duː aɪ ɡet ðeə/,как туда добраться?
I am lost,/aɪ æm lɒst/,я заблудился(ась)
I need help,/aɪ niːd help/,мне нужна помощь
Call the police,/kɔːl ðə pəˈliːs/,вызовите полицию
Speak slowly please,/spiːk ˈsləʊli pliːz/,говорите медленнее, пожалуйста
Do you speak English?,/duː juː spiːk ˈɪŋɡlɪʃ/,вы говорите по-английски?
I don't know,/aɪ dəʊnt nəʊ/,я не знаю
Wait a moment,/weɪt ə ˈməʊmənt/,подождите минутку
How much is it?,/haʊ mʌtʃ ɪz ɪt/,сколько это стоит?
Where can I buy water?,/weə kæn aɪ baɪ ˈwɔːtə/,где купить воду?
I feel bad,/aɪ fiːl bæd/,мне плохо
Is it safe here?,/ɪz ɪt seɪf hɪə/,здесь безопасно?
Can you repeat?,/kæn juː rɪˈpiːt/,повторите?
What does it mean?,/wɒt dʌz ɪt miːn/,что это значит?
Nice to meet you,/naɪs tuː miːt juː/,приятно познакомиться
See you later,/siː juː ˈleɪtə/,до встречи
Have a nice day,/hæv ə naɪs deɪ/,хорошего дня
I need a taxi,/aɪ niːd ə ˈtæksi/,мне нужно такси
Where is the station?,/weə ɪz ðə ˈsteɪʃən/,где вокзал?
Can I have the menu?,/kæn aɪ hæv ðə ˈmenjuː/,можно меню?
# ─────────── A1 · СЛЕНГ (ПРОСТОЙ) ───────────
Hi!,/haɪ/,Привет!
Hey!,/heɪ/,Эй! / Привет!
What's up?,/wɒts ʌp/,как дела? / чё как?
Cool!,/kuːl/,Круто!
Awesome!,/ˈɔːsəm/,Класс! / Потрясающе!
Nice!,/naɪs/,Класс! / Хорошо!
Wow!,/waʊ/,Вау!
Oops!,/uːps/,Упс!
OK,/ˌəʊˈkeɪ/,окей / ладно
No way!,/nəʊ weɪ/,Да ладно! / Ни за что!
Of course,/ɒv kɔːs/,конечно
Sure,/ʃɔː/,конечно / без проблем
My bad,/maɪ bæd/,моя вина / виноват
No problem,/nəʊ ˈprɒbləm/,без проблем
Never mind,/ˈnevə maɪnd/,не важно / забей
Take it easy,/teɪk ɪt ˈiːzi/,расслабься / не парься
I'm tired,/aɪm ˈtaɪəd/,я устал(а)
I'm hungry,/aɪm ˈhʌŋɡri/,я голоден(на)
So cute!,/səʊ kjuːt/,как мило!
Let's go!,/lets ɡəʊ/,погнали!
Good luck!,/ɡʊd lʌk/,удачи!
See ya!,/siː jə/,увидимся!
Bye!,/baɪ/,пока!
Yummy!,/ˈjʌmi/,вкусно! / ням!
Gross!,/ɡrəʊs/,фу! / гадость!
I'm bored,/aɪm bɔːd/,мне скучно
Chill,/tʃɪl/,расслабься / отдыхай
Kind of,/kaɪnd ɒv/,вроде / типа того
Not bad,/nɒt bæd/,неплохо
Same here,/seɪm hɪə/,я тоже / так же
