English,Transcription,Русский
It slipped my mind,/ɪt slɪpt maɪ maɪnd/,я забыл(а) / вылетело из головы
I got held up,/aɪ ɡɒt held ʌp/,меня задержали
My alarm didn't go off,/maɪ əˈlɑːm ˈdɪdənt ɡəʊ ɒf/,будильник не сработал
# ─────────── A2 · «СЕРИАЛЬНЫЕ» ФРАЗЫ ───────────
We need to talk,/wiː niːd tuː tɔːk/,нам нужно поговорить
It's not what it looks like,/ɪts nɒt wɒt ɪt lʊks laɪk/,это не то, что кажется
I can explain,/aɪ kæn ɪkˈspleɪn/,я могу объяснить
Trust me,/trʌst miː/,поверь мне
You have no idea,/juː hæv nəʊ aɪˈdɪə/,ты и не представляешь
I knew it,/aɪ njuː ɪt/,я так и знал(а)
How could you?,/haʊ kʊd juː/,как ты мог(ла)?
I can't believe this,/aɪ kɑːnt bɪˈliːv ðɪs/,я не могу в это поверить
Leave me alone,/liːv miː əˈləʊn/,оставь меня в покое
It's over,/ɪts ˈəʊvə/,всё кончено
Don't lie to me,/dəʊnt laɪ tuː miː/,не лги мне
What are you hiding?,/wɒt ɑː juː ˈhaɪdɪŋ/,что ты скрываешь?
I did it for you,/aɪ dɪd ɪt fɔː juː/,я сделал(а) это ради тебя
It's complicated,/ɪts ˈkɒmplɪkeɪtɪd/,всё сложно
You've changed,/juːv tʃeɪndʒd/,ты изменился(ась)
Promise me,/ˈprɒmɪs miː/,пообещай мне
I never wanted this,/aɪ ˈnevə ˈwɒntɪd ðɪs/,я никогда этого не хотел(а)
Stay away from me,/steɪ əˈweɪ frɒm miː/,держись от меня подальше
You'll regret this,/juːl rɪˈɡret ðɪs/,ты об этом пожалеешь
I'm not afraid of you,/aɪm nɒt əˈfreɪd ɒv juː/,я тебя не боюсь
# ─────────── A2 · КОЛКИЕ ФРАЗЫ ───────────
Nice try,/naɪs traɪ/,хорошая попытка (но нет)
As if!,/əz ɪf/,как будто! / ещё чего!
You wish,/juː wɪʃ/,размечтался
Whatever,/wɒtˈevə/,да как угодно / плевать
Big deal,/bɪɡ diːl/,подумаешь / большое дело
So what?,/səʊ wɒt/,и что с того?
Says who?,/sez huː/,кто сказал?
Get over it,/ɡet ˈəʊvər ɪt/,забудь / смирись
Deal with it,/diːl wɪð ɪt/,разбирайся сам / прими это
Watch me,/wɒtʃ miː/,вот увидишь / смотри и учись
None of your business,/nʌn ɒv jɔː ˈbɪznɪs/,не твоё дело
Mind your own business,/maɪnd jɔːr əʊn ˈbɪznɪs/,занимайся своими делами
In your dreams,/ɪn jɔː driːmz/,и не мечтай
Give me a break,/ɡɪv miː ə breɪk/,да ладно тебе / отстань
Good for you,/ɡʊd fɔː juː/,ну и молодец (с иронией)
How original,/haʊ əˈrɪdʒɪnəl/,как оригинально (сарказм)
Tell me about it,/tel miː əˈbaʊt ɪt/,и не говори / кому ты рассказываешь
You don't say,/juː dəʊnt seɪ/,да неужели (сарказм)
Try me,/traɪ miː/,а ты попробуй / проверь меня
Suit yourself,/suːt jɔːˈself/,как хочешь / дело твоё
# ─────────── A2 · ПРОФЕССИИ (ПОСЛОЖНЕЕ) ───────────
engineer,/ˌendʒɪˈnɪə/,инженер
lawyer,/ˈlɔɪə/,юрист
accountant,/əˈkaʊntənt/,бухгалтер
architect,/ˈɑːkɪtekt/,архитектор
journalist,/ˈdʒɜːnəlɪst/,журналист
translator,/trænzˈleɪtə/,переводчик
designer,/dɪˈzaɪnə/,дизайнер
manager,/ˈmænɪdʒə/,менеджер
electrician,/ɪˌlekˈtrɪʃən/,электрик
plumber,/ˈplʌmə/,сантехник
mechanic,/mɪˈkænɪk/,механик
hairdresser,/ˈheədresə/,парикмахер
photographer,/fəˈtɒɡrəfə/,фотограф
dentist,/ˈdentɪst/,стоматолог
vet,/vet/,ветеринар
scientist,/ˈsaɪəntɪst/,учёный
programmer,/ˈprəʊɡræmə/,программист
pilot,/ˈpaɪlət/,пилот
chef,/ʃef/,шеф-повар
cleaner,/ˈkliːnə/,уборщик
# ─────────── A2 · КЛИМАТ И ПРИРОДА ───────────
climate,/ˈklaɪmət/,климат
environment,/ɪnˈvaɪrənmənt/,окружающая среда
temperature,/ˈtemprətʃə/,температура
weather forecast,/ˈweðə ˈfɔːkɑːst/,прогноз погоды
humidity,/hjuːˈmɪdəti/,влажность
drought,/draʊt/,засуха
flood,/flʌd/,наводнение
earthquake,/ˈɜːθkweɪk/,землетрясение
thunderstorm,/ˈθʌndəstɔːm/,гроза
breeze,/briːz/,лёгкий ветерок
sunrise,/ˈsʌnraɪz/,рассвет
sunset,/ˈsʌnset/,закат
valley,/ˈvæli/,долина
hill,/hɪl/,холм
desert,/ˈdezət/,пустыня
waterfall,/ˈwɔːtəfɔːl/,водопад
coast,/kəʊst/,побережье
cliff,/klɪf/,утёс
cave,/keɪv/,пещера
island,/ˈaɪlənd/,остров
# ─────────── A2 · ПРЕДЛОГИ И СВЯЗКИ ───────────
according to,/əˈkɔːdɪŋ tuː/,согласно / по словам
because of,/bɪˈkɒz ɒv/,из-за
instead of,/ɪnˈsted ɒv/,вместо
in spite of,/ɪn spaɪt ɒv/,несмотря на
due to,/djuː tuː/,из-за / вследствие
apart from,/əˈpɑːt frɒm/,кроме / помимо
as well as,/əz wel əz/,а также
thanks to,/θæŋks tuː/,благодаря
on time,/ɒn taɪm/,вовремя
in time,/ɪn taɪm/,вовремя (успеть)
at least,/ət liːst/,по крайней мере
at last,/ət lɑːst/,наконец
so far,/səʊ fɑː/,пока что / до сих пор
on purpose,/ɒn ˈpɜːpəs/,нарочно
in general,/ɪn ˈdʒenrəl/,в целом
as a result,/əz ə rɪˈzʌlt/,в результате
# ─────────── A2 · ПРОШЕДШЕЕ (ПОСЛОЖНЕЕ) ───────────
I was cooking when he called,/aɪ wɒz ˈkʊkɪŋ wen hiː kɔːld/,я готовил(а), когда он позвонил
I used to smoke,/aɪ juːst tuː sməʊk/,раньше я курил(а)
I didn't use to like it,/aɪ ˈdɪdənt juːs tuː laɪk ɪt/,раньше мне это не нравилось
While I was walking home,/waɪl aɪ wɒz ˈwɔːkɪŋ həʊm/,пока я шёл(шла) домой
They were arguing all night,/ðeɪ wɜːr ˈɑːɡjuːɪŋ ɔːl naɪt/,они спорили всю ночь
I had already left,/aɪ hæd ɔːlˈredi left/,я уже ушёл(ушла)
What were you doing?,/wɒt wɜː juː ˈduːɪŋ/,что ты делал(а)?
It was raining when I woke up,/ɪt wɒz ˈreɪnɪŋ wen aɪ wəʊk ʌp/,шёл дождь, когда я проснулся(ась)
We were watching a film,/wiː wɜː ˈwɒtʃɪŋ ə fɪlm/,мы смотрели фильм
By the time we arrived it was dark,/baɪ ðə taɪm wiː əˈraɪvd ɪt wɒz dɑːk/,к моменту, когда мы приехали, стемнело
I had never seen it before,/aɪ hæd ˈnevə siːn ɪt bɪˈfɔː/,я никогда раньше этого не видел(а)
She was crying,/ʃiː wɒz ˈkraɪɪŋ/,она плакала
He didn't say anything,/hiː ˈdɪdənt seɪ ˈeniθɪŋ/,он ничего не сказал
We used to live by the sea,/wiː juːst tuː lɪv baɪ ðə siː/,раньше мы жили у моря
I was about to leave,/aɪ wɒz əˈbaʊt tuː liːv/,я как раз собирался(ась) уходить
# ─────────── A2 · БУДУЩЕЕ (ПОСЛОЖНЕЕ) ───────────
I'm meeting him tomorrow,/aɪm ˈmiːtɪŋ hɪm təˈmɒrəʊ/,я встречаюсь с ним завтра
The train leaves at six,/ðə treɪn liːvz ət sɪks/,поезд отходит в шесть
I'm about to leave,/aɪm əˈbaʊt tuː liːv/,я вот-вот уйду
We're going to move,/wɪə ˈɡəʊɪŋ tuː muːv/,мы собираемся переезжать
I might travel next year,/aɪ maɪt ˈtrævəl nekst jɪə/,возможно, я поеду путешествовать в следующем году
As soon as I finish I'll call,/əz suːn əz aɪ ˈfɪnɪʃ aɪl kɔːl/,как только закончу — позвоню
I'll have finished by Monday,/aɪl hæv ˈfɪnɪʃt baɪ ˈmʌndeɪ/,я закончу к понедельнику
Give me a call when you arrive,/ɡɪv miː ə kɔːl wen juː əˈraɪv/,позвони, когда приедешь
I'm going to look for a job,/aɪm ˈɡəʊɪŋ tuː lʊk fɔːr ə dʒɒb/,я собираюсь искать работу
We'll see how it goes,/wiːl siː haʊ ɪt ɡəʊz/,посмотрим, как пойдёт
Things will get better,/θɪŋz wɪl ɡet ˈbetə/,всё наладится
I won't be able to come,/aɪ wəʊnt biː ˈeɪbəl tuː kʌm/,я не смогу прийти
# ─────────── A2 · МОДАЛЬНЫЕ (ПОСЛОЖНЕЕ) ───────────
You should have told me,/juː ʃʊd hæv təʊld miː/,тебе следовало мне сказать
I must have left it at home,/aɪ mʌst hæv left ɪt ət həʊm/,наверное, я оставил(а) это дома
It can't be true,/ɪt kɑːnt biː truː/,не может быть
You'd better hurry,/juːd ˈbetə ˈhʌri/,тебе лучше поторопиться
I'd rather stay home,/aɪd ˈrɑːðə steɪ həʊm/,я бы предпочёл(ла) остаться дома
We're supposed to meet at five,/wɪə səˈpəʊzd tuː miːt ət faɪv/,мы должны встретиться в пять
You needn't worry,/juː ˈniːdənt ˈwʌri/,тебе не о чем волноваться
It might have rained,/ɪt maɪt hæv reɪnd/,возможно, шёл дождь
He must be joking,/hiː mʌst biː ˈdʒəʊkɪŋ/,он, должно быть, шутит
I could have helped you,/aɪ kʊd hæv helpt juː/,я мог(ла) бы тебе помочь
You shouldn't have,/juː ˈʃʊdənt hæv/,не стоило (о подарке)
That would be great,/ðæt wʊd biː ɡreɪt/,это было бы здорово
# ─────────── A2 · ВЫЖИВАНИЕ И ПОМОЩЬ (В ПУТИ) ───────────
Could you give me directions?,/kʊd juː ɡɪv miː dɪˈrekʃənz/,подскажете дорогу?
Is there a pharmacy nearby?,/ɪz ðeər ə ˈfɑːməsi ˈnɪəbaɪ/,поблизости есть аптека?
How far is it?,/haʊ fɑːr ɪz ɪt/,как далеко это?
Can I book a table?,/kæn aɪ bʊk ə ˈteɪbəl/,можно забронировать столик?
I'd like to check in,/aɪd laɪk tuː tʃek ɪn/,я хотел(а) бы заселиться
Is breakfast included?,/ɪz ˈbrekfəst ɪnˈkluːdɪd/,завтрак включён?
Could I get a refund?,/kʊd aɪ ɡet ə ˈriːfʌnd/,можно вернуть деньги?
My luggage is missing,/maɪ ˈlʌɡɪdʒ ɪz ˈmɪsɪŋ/,мой багаж пропал
Can you recommend something?,/kæn juː ˌrekəˈmend ˈsʌmθɪŋ/,можете что-нибудь посоветовать?
Does this bus go to the centre?,/dʌz ðɪs bʌs ɡəʊ tuː ðə ˈsentə/,этот автобус идёт в центр?
Where do I change trains?,/weə duː aɪ tʃeɪndʒ treɪnz/,где мне пересесть на другой поезд?
Keep the change,/kiːp ðə tʃeɪndʒ/,сдачи не надо
Can I have the receipt?,/kæn aɪ hæv ðə rɪˈsiːt/,можно чек?
Is it within walking distance?,/ɪz ɪt wɪˈðɪn ˈwɔːkɪŋ ˈdɪstəns/,туда можно дойти пешком?
# ─────────── A2 · СЛЕНГ ───────────
hang out,/hæŋ aʊt/,тусоваться / проводить время
chill out,/tʃɪl aʊt/,расслабиться
no worries,/nəʊ ˈwʌriz/,не переживай / не за что
for real?,/fɔː rɪəl/,серьёзно? / по-настоящему?
you got this,/juː ɡɒt ðɪs/,у тебя получится
my treat,/maɪ triːt/,я угощаю
let's grab a bite,/lets ɡræb ə baɪt/,давай перекусим
I'm broke,/aɪm brəʊk/,я на мели / без денег
it's lit,/ɪts lɪt/,это огонь / круто
what's the vibe?,/wɒts ðə vaɪb/,какая атмосфера / как настрой?
hit me up,/hɪt miː ʌp/,напиши / свяжись со мной
sounds good,/saʊndz ɡʊd/,звучит хорошо
same old,/seɪm əʊld/,всё как обычно
big time,/bɪɡ taɪm/,очень сильно / по-крупному
low-key,/ˈləʊkiː/,по-тихому / втайне
I'm hyped,/aɪm haɪpt/,я в предвкушении / на взводе
don't be salty,/dəʊnt biː ˈsɔːlti/,не злись / не обижайся
that's sus,/ðæts sʌs/,это подозрительно
let's bail,/lets beɪl/,давай сваливать
I'm gonna crash,/aɪm ˈɡɒnə kræʃ/,я вырублюсь спать
it's a rip-off,/ɪts ə ˈrɪpɒf/,это грабёж / дорого и плохо
give it a shot,/ɡɪv ɪt ə ʃɒt/,попробуй
hang on,/hæŋ ɒn/,подожди / погоди
no biggie,/nəʊ ˈbɪɡi/,ерунда / пустяк
I'm in,/aɪm ɪn/,я в деле
count me out,/kaʊnt miː aʊt/,без меня
