English,Transcription,Русский
Are bills included?,/ɑː bɪlz ɪnˈkluːdɪd/,коммуналка включена?
Is there a deposit?,/ɪz ðeər ə dɪˈpɒzɪt/,есть залог?
Can I see the flat?,/kæn aɪ siː ðə flæt/,можно посмотреть квартиру?
Is it furnished?,/ɪz ɪt ˈfɜːnɪʃt/,она с мебелью?
When can I move in?,/wen kæn aɪ muːv ɪn/,когда можно заселиться?
How long is the contract?,/haʊ lɒŋ ɪz ðə ˈkɒntrækt/,на какой срок договор?
Are pets allowed?,/ɑː pets əˈlaʊd/,можно с животными?
The heating doesn't work,/ðə ˈhiːtɪŋ ˈdʌzənt wɜːk/,отопление не работает
There's a leak in the bathroom,/ðeəz ə liːk ɪn ðə ˈbɑːθruːm/,в ванной течёт
Can you fix it?,/kæn juː fɪks ɪt/,вы можете это починить?
When is the rent due?,/wen ɪz ðə rent djuː/,когда платить за аренду?
Who is the landlord?,/huː ɪz ðə ˈlændlɔːd/,кто арендодатель?
Is the neighbourhood safe?,/ɪz ðə ˈneɪbəhʊd seɪf/,район безопасный?
Are there any extra costs?,/ɑː ðeər ˈeni ˈekstrə kɒsts/,есть дополнительные расходы?
The Wi-Fi isn't working,/ðə ˈwaɪfaɪ ˈɪzənt ˈwɜːkɪŋ/,вай-фай не работает
Could you lower the price?,/kʊd juː ˈləʊə ðə praɪs/,можно снизить цену?
Here is the key,/hɪər ɪz ðə kiː/,вот ключ
Sign here please,/saɪn hɪə pliːz/,распишитесь здесь, пожалуйста
# ─────────── ФРАЗЫ · КАФЕ И РЕСТОРАН ───────────
A table for two please,/ə ˈteɪbəl fɔː tuː pliːz/,столик на двоих, пожалуйста
Do you have a table free?,/duː juː hæv ə ˈteɪbəl friː/,есть свободный столик?
Can I see the menu?,/kæn aɪ siː ðə ˈmenjuː/,можно меню?
What do you recommend?,/wɒt duː juː ˌrekəˈmend/,что посоветуете?
I'll have the same,/aɪl hæv ðə seɪm/,мне то же самое
Is this dish spicy?,/ɪz ðɪs dɪʃ ˈspaɪsi/,это блюдо острое?
I'm allergic to nuts,/aɪm əˈlɜːdʒɪk tuː nʌts/,у меня аллергия на орехи
Can I have it without onions?,/kæn aɪ hæv ɪt wɪˈðaʊt ˈʌnjənz/,можно без лука?
This isn't what I ordered,/ðɪs ˈɪzənt wɒt aɪ ˈɔːdəd/,это не то, что я заказывал(а)
The food is cold,/ðə fuːd ɪz kəʊld/,еда холодная
It was delicious,/ɪt wɒz dɪˈlɪʃəs/,было очень вкусно
Can we have the bill?,/kæn wiː hæv ðə bɪl/,счёт, пожалуйста
Is service included?,/ɪz ˈsɜːvɪs ɪnˈkluːdɪd/,чаевые включены в счёт?
Can we split the bill?,/kæn wiː splɪt ðə bɪl/,можно счёт пополам?
One coffee to go please,/wʌn ˈkɒfi tuː ɡəʊ pliːz/,один кофе с собой, пожалуйста
Can we sit outside?,/kæn wiː sɪt aʊtˈsaɪd/,можно сесть на улице?
Enjoy your meal,/ɪnˈdʒɔɪ jɔː miːl/,приятного аппетита
Could I get a receipt?,/kʊd aɪ ɡet ə rɪˈsiːt/,можно чек?
I'm just looking thanks,/aɪm dʒʌst ˈlʊkɪŋ θæŋks/,я просто смотрю, спасибо
Could we get some water?,/kʊd wiː ɡet sʌm ˈwɔːtə/,можно нам воды?
# ─────────── ФРАЗЫ · ШКОЛА И САДИК (С РЕБЁНКОМ) ───────────
This is my son,/ðɪs ɪz maɪ sʌn/,это мой сын
He is three years old,/hiː ɪz θriː jɪəz əʊld/,ему три года
What time does school start?,/wɒt taɪm dʌz skuːl stɑːt/,во сколько начинается школа?
What time can I pick him up?,/wɒt taɪm kæn aɪ pɪk hɪm ʌp/,во сколько его забирать?
Did she eat well today?,/dɪd ʃiː iːt wel təˈdeɪ/,она сегодня хорошо поела?
He didn't sleep at nap time,/hiː ˈdɪdənt sliːp ət næp taɪm/,он не спал в тихий час
She has a fever,/ʃiː hæz ə ˈfiːvə/,у неё температура
Please call me if anything happens,/pliːz kɔːl miː ɪf ˈeniθɪŋ ˈhæpənz/,позвоните мне, если что-то случится
He is a bit shy,/hiː ɪz ə bɪt ʃaɪ/,он немного стеснительный
He is allergic to milk,/hiː ɪz əˈlɜːdʒɪk tuː mɪlk/,у него аллергия на молоко
How was he today?,/haʊ wɒz hiː təˈdeɪ/,как он сегодня?
Did she make friends?,/dɪd ʃiː meɪk frendz/,она с кем-нибудь подружилась?
He forgot his jacket,/hiː fəˈɡɒt hɪz ˈdʒækɪt/,он забыл куртку
Please help him wash his hands,/pliːz help hɪm wɒʃ hɪz hændz/,помогите ему помыть руки
He needs a nap,/hiː niːdz ə næp/,ему нужно поспать
Thank you for looking after him,/ˈθæŋk juː fɔː ˈlʊkɪŋ ˈɑːftə hɪm/,спасибо, что присмотрели за ним
Say goodbye to the teacher,/seɪ ɡʊdˈbaɪ tuː ðə ˈtiːtʃə/,попрощайся с воспитателем
Does he need to bring lunch?,/dʌz hiː niːd tuː brɪŋ lʌntʃ/,ему нужно приносить обед?
She is a bit tired today,/ʃiː ɪz ə bɪt ˈtaɪəd təˈdeɪ/,она сегодня немного устала
Be good okay?,/biː ɡʊd əʊˈkeɪ/,веди себя хорошо, ладно?
# ─────────── ФРАЗЫ · УЛИЦА И ЗНАКОМСТВО ───────────
Excuse me can you help me?,/ɪkˈskjuːz miː kæn juː help miː/,извините, вы можете помочь?
How do I get to the station?,/haʊ duː aɪ ɡet tuː ðə ˈsteɪʃən/,как пройти к вокзалу?
Is it far from here?,/ɪz ɪt fɑː frɒm hɪə/,это далеко отсюда?
Go straight and turn left,/ɡəʊ streɪt ænd tɜːn left/,идите прямо и поверните налево
It's just around the corner,/ɪts dʒʌst əˈraʊnd ðə ˈkɔːnə/,это сразу за углом
Nice to meet you,/naɪs tuː miːt juː/,приятно познакомиться
What's your name?,/wɒts jɔː neɪm/,как тебя зовут?
Where are you from?,/weər ɑː juː frɒm/,ты откуда?
How long have you been here?,/haʊ lɒŋ hæv juː biːn hɪə/,ты давно здесь?
Do you live nearby?,/duː juː lɪv ˈnɪəbaɪ/,ты живёшь поблизости?
Can I add you?,/kæn aɪ æd juː/,можно добавить тебя (в соцсетях)?
It was nice talking to you,/ɪt wɒz naɪs ˈtɔːkɪŋ tuː juː/,было приятно пообщаться
Do you have the time?,/duː juː hæv ðə taɪm/,подскажете время?
I'm a bit lost,/aɪm ə bɪt lɒst/,я немного заблудился(ась)
Which way is the centre?,/wɪtʃ weɪ ɪz ðə ˈsentə/,в какую сторону центр?
Take care,/teɪk keə/,береги себя
See you around,/siː juː əˈraʊnd/,ещё увидимся
Have a good one,/hæv ə ɡʊd wʌn/,хорошего дня (разг.)
Sorry I'm in a hurry,/ˈsɒri aɪm ɪn ə ˈhʌri/,извини, я спешу
Can you take a photo of us?,/kæn juː teɪk ə ˈfəʊtəʊ ɒv ʌs/,сфотографируете нас?
# ─────────── ФРАЗЫ · ОПИСАНИЕ ───────────
What does it look like?,/wɒt dʌz ɪt lʊk laɪk/,как оно выглядит?
It's round and red,/ɪts raʊnd ænd red/,оно круглое и красное
It's about this big,/ɪts əˈbaʊt ðɪs bɪɡ/,примерно вот такого размера
He is tall and thin,/hiː ɪz tɔːl ænd θɪn/,он высокий и худой
She has long dark hair,/ʃiː hæz lɒŋ dɑːk heə/,у неё длинные тёмные волосы
It's made of wood,/ɪts meɪd ɒv wʊd/,это из дерева
It looks like a cat,/ɪt lʊks laɪk ə kæt/,похоже на кошку
It feels soft,/ɪt fiːlz sɒft/,на ощупь мягкое
It's heavier than it looks,/ɪts ˈheviə ðæn ɪt lʊks/,оно тяжелее, чем кажется
He looks tired,/hiː lʊks ˈtaɪəd/,он выглядит уставшим
It's kind of strange,/ɪts kaɪnd ɒv streɪndʒ/,это как-то странно
It's hard to explain,/ɪts hɑːd tuː ɪkˈspleɪn/,это трудно объяснить
What colour is it?,/wɒt ˈkʌlər ɪz ɪt/,какого оно цвета?
It smells great,/ɪt smelz ɡreɪt/,оно классно пахнет
# ─────────── ФРАЗЫ · НОВОСТИ И ПОГОДА ───────────
Did you hear the news?,/dɪd juː hɪə ðə njuːz/,ты слышал(а) новость?
What's on the news?,/wɒts ɒn ðə njuːz/,что там в новостях?
Prices are going up,/ˈpraɪsɪz ɑː ˈɡəʊɪŋ ʌp/,цены растут
What's the weather like today?,/wɒts ðə ˈweðə laɪk təˈdeɪ/,какая сегодня погода?
It's going to rain later,/ɪts ˈɡəʊɪŋ tuː reɪn ˈleɪtə/,позже пойдёт дождь
Take an umbrella just in case,/teɪk ən ʌmˈbrelə dʒʌst ɪn keɪs/,возьми зонт на всякий случай
It's freezing outside,/ɪts ˈfriːzɪŋ aʊtˈsaɪd/,на улице очень холодно
It's boiling today,/ɪts ˈbɔɪlɪŋ təˈdeɪ/,сегодня жара
The roads are icy,/ðə rəʊdz ɑːr ˈaɪsi/,дороги обледенели
There's a storm coming,/ðeəz ə stɔːm ˈkʌmɪŋ/,надвигается буря
The sun is finally out,/ðə sʌn ɪz ˈfaɪnəli aʊt/,наконец-то вышло солнце
What's the forecast?,/wɒts ðə ˈfɔːkɑːst/,какой прогноз погоды?
It might snow tonight,/ɪt maɪt snəʊ təˈnaɪt/,ночью может пойти снег
It's cloudy but warm,/ɪts ˈklaʊdi bʌt wɔːm/,облачно, но тепло
There's been an accident,/ðeəz biːn ən ˈæksɪdənt/,произошла авария
# ─────────── ФРАЗЫ · ОПАСНОСТЬ · ПОЛИЦИЯ · ГРАБЁЖ ───────────
Help!,/help/,Помогите!
Call the police!,/kɔːl ðə pəˈliːs/,Вызовите полицию!
Call an ambulance!,/kɔːl ən ˈæmbjələns/,Вызовите скорую!
Someone robbed me,/ˈsʌmwʌn rɒbd miː/,меня ограбили
Stop! Thief!,/stɒp θiːf/,Стой! Вор!
He took my bag,/hiː tʊk maɪ bæɡ/,он забрал мою сумку
My wallet was stolen,/maɪ ˈwɒlɪt wɒz ˈstəʊlən/,у меня украли кошелёк
My phone was stolen,/maɪ fəʊn wɒz ˈstəʊlən/,у меня украли телефон
I want to report a theft,/aɪ wɒnt tuː rɪˈpɔːt ə θeft/,я хочу заявить о краже
Leave me alone!,/liːv miː əˈləʊn/,Оставьте меня в покое!
Don't touch me!,/dəʊnt tʌtʃ miː/,Не трогайте меня!
I feel unsafe here,/aɪ fiːl ʌnˈseɪf hɪə/,мне здесь небезопасно
I'm scared,/aɪm skeəd/,мне страшно
Where is the nearest police station?,/weər ɪz ðə ˈnɪərɪst pəˈliːs ˈsteɪʃən/,где ближайший полицейский участок?
I lost my passport,/aɪ lɒst maɪ ˈpɑːspɔːt/,я потерял(а) паспорт
I need to contact my embassy,/aɪ niːd tuː ˈkɒntækt maɪ ˈembəsi/,мне нужно связаться с посольством
Someone is following me,/ˈsʌmwʌn ɪz ˈfɒləʊɪŋ miː/,за мной кто-то идёт
There's a fire!,/ðeəz ə ˈfaɪə/,Пожар!
It's an emergency,/ɪts ən ɪˈmɜːdʒənsi/,это чрезвычайная ситуация
Please hurry,/pliːz ˈhʌri/,пожалуйста, скорее
I didn't do anything,/aɪ ˈdɪdənt duː ˈeniθɪŋ/,я ничего не делал(а)
Can you help me please?,/kæn juː help miː pliːz/,помогите мне, пожалуйста
