English,Transcription,Русский
Where did you grow up?,/weə dɪd juː ɡrəʊ ʌp/,где ты вырос(ла)?
Have you ever been abroad?,/hæv juː ˈevə biːn əˈbrɔːd/,ты когда-нибудь был(а) за границей?
How long have you lived here?,/haʊ lɒŋ hæv juː lɪvd hɪə/,как давно ты здесь живёшь?
What are you doing this weekend?,/wɒt ɑː juː ˈduːɪŋ ðɪs ˌwiːkˈend/,что ты делаешь в эти выходные?
Would you mind helping me?,/wʊd juː maɪnd ˈhelpɪŋ miː/,не мог бы ты мне помочь?
Could you tell me the time?,/kʊd juː tel miː ðə taɪm/,подскажешь время?
What would you do if you won?,/wɒt wʊd juː duː ɪf juː wʌn/,что бы ты сделал, если бы выиграл?
Do you feel like going out?,/duː juː fiːl laɪk ˈɡəʊɪŋ aʊt/,хочешь куда-нибудь сходить?
What have you been up to?,/wɒt hæv juː biːn ʌp tuː/,чем занимался в последнее время?
What time does it start?,/wɒt taɪm dʌz ɪt stɑːt/,во сколько это начинается?
Are you going to come?,/ɑː juː ˈɡəʊɪŋ tuː kʌm/,ты придёшь?
Did you use to live here?,/dɪd juː juːs tuː lɪv hɪə/,ты раньше здесь жил(а)?
Why didn't you call?,/waɪ ˈdɪdənt juː kɔːl/,почему ты не позвонил(а)?
Can you give me a hand?,/kæn juː ɡɪv miː ə hænd/,можешь помочь?
How often do you exercise?,/haʊ ˈɒfən duː juː ˈeksəsaɪz/,как часто ты занимаешься спортом?
Where have you been?,/weə hæv juː biːn/,где ты был(а)?
What were you doing at eight?,/wɒt wɜː juː ˈduːɪŋ ət eɪt/,что ты делал(а) в восемь?
Will you be there?,/wɪl juː biː ðeə/,ты там будешь?
Do you know where it is?,/duː juː nəʊ weər ɪt ɪz/,ты знаешь, где это?
Whose turn is it?,/huːz tɜːn ɪz ɪt/,чья очередь?
What's it like?,/wɒts ɪt laɪk/,как оно? / на что похоже?
How do you feel about it?,/haʊ duː juː fiːl əˈbaʊt ɪt/,как ты к этому относишься?
Have you got a minute?,/hæv juː ɡɒt ə ˈmɪnɪt/,есть минутка?
What should I do?,/wɒt ʃʊd aɪ duː/,что мне делать?
Do you mind if I sit here?,/duː juː maɪnd ɪf aɪ sɪt hɪə/,не против, если я сяду здесь?
How come you're late?,/haʊ kʌm jɔː leɪt/,почему ты опоздал(а)?
Would you like anything else?,/wʊd juː laɪk ˈeniθɪŋ els/,желаете что-нибудь ещё?
Shall we go?,/ʃæl wiː ɡəʊ/,пойдём?
Did it go well?,/dɪd ɪt ɡəʊ wel/,всё прошло хорошо?
Have you decided yet?,/hæv juː dɪˈsaɪdɪd jet/,ты уже решил(а)?
What happened?,/wɒt ˈhæpənd/,что случилось?
How's it going?,/haʊz ɪt ˈɡəʊɪŋ/,как дела?
What do you mean?,/wɒt duː juː miːn/,что ты имеешь в виду?
Could I ask you something?,/kʊd aɪ ɑːsk juː ˈsʌmθɪŋ/,можно тебя кое о чём спросить?
Is it far from here?,/ɪz ɪt fɑː frɒm hɪə/,это далеко отсюда?
# ─────────── B1 · ГЛАГОЛЫ ВО ВРЕМЕНАХ (ФРАЗЫ) ───────────
I've been working all day,/aɪv biːn ˈwɜːkɪŋ ɔːl deɪ/,я работал(а) весь день
She has just left,/ʃiː hæz dʒʌst left/,она только что ушла
They had already gone,/ðeɪ hæd ɔːlˈredi ɡɒn/,они уже ушли
I will have finished by then,/aɪ wɪl hæv ˈfɪnɪʃt baɪ ðen/,я закончу к тому времени
I would have come if I'd known,/aɪ wʊd hæv kʌm ɪf aɪd nəʊn/,я бы пришёл, если бы знал
I've never tried it,/aɪv ˈnevə traɪd ɪt/,я никогда это не пробовал(а)
It has been raining since morning,/ɪt hæz biːn ˈreɪnɪŋ sɪns ˈmɔːnɪŋ/,дождь идёт с утра
I'm getting used to it,/aɪm ˈɡetɪŋ juːst tuː ɪt/,я привыкаю к этому
She might have forgotten,/ʃiː maɪt hæv fəˈɡɒtən/,возможно, она забыла
I wish I had known,/aɪ wɪʃ aɪ hæd nəʊn/,жаль, что я не знал(а)
He said he would come,/hiː sed hiː wʊd kʌm/,он сказал, что придёт
I've been meaning to call you,/aɪv biːn ˈmiːnɪŋ tuː kɔːl juː/,я давно собирался тебе позвонить
They must have left,/ðeɪ mʌst hæv left/,они, должно быть, ушли
We are supposed to meet,/wiː ɑː səˈpəʊzd tuː miːt/,мы должны встретиться
By next year I'll have moved,/baɪ nekst jɪər aɪl hæv muːvd/,к следующему году я перееду
I had been waiting for an hour,/aɪ hæd biːn ˈweɪtɪŋ fɔːr ən ˈaʊə/,я прождал(а) час
She's always losing her keys,/ʃiːz ˈɔːlweɪz ˈluːzɪŋ hɜː kiːz/,она вечно теряет ключи
I didn't expect that,/aɪ ˈdɪdənt ɪkˈspekt ðæt/,я этого не ожидал(а)
We've known each other for years,/wiːv nəʊn iːtʃ ˈʌðə fɔː jɪəz/,мы знаем друг друга много лет
It was going to rain,/ɪt wɒz ˈɡəʊɪŋ tuː reɪn/,собирался дождь
